protein_ac,drug_id
O14684,DB00812
O14684,DB00945
O14684,DB01050
O14684,DB01892
O14684,DB03444
O14684,DB04115
O14684,DB04716
O14684,DB12116
O14684,DB15359
O14730,DB02567
O14730,DB04849
O14730,DB04868
O14730,DB05524
O14730,DB05552
O14730,DB06195
O14730,DB06314
O14730,DB06486
O14730,DB06616
O14730,DB06626
O14730,DB06999
O14730,DB07159
O14730,DB08094
O14730,DB08142
O14730,DB08568
O14730,DB08865
O14730,DB08877
O14730,DB08916
O14730,DB09079
O14730,DB11526
O14730,DB11663
O14730,DB11689
O14730,DB11828
O14730,DB11958
O14730,DB12302
O14730,DB12307
O14730,DB12429
O14730,DB12500
O14730,DB12745
O14733,DB00317
O14733,DB00398
O14733,DB00530
O14733,DB00619
O14733,DB01254
O14733,DB01259
O14733,DB01268
O14733,DB02567
O14733,DB03044
O14733,DB03496
O14733,DB04849
O14733,DB04868
O14733,DB04879
O14733,DB05294
O14733,DB05424
O14733,DB05465
O14733,DB05552
O14733,DB05575
O14733,DB05928
O14733,DB05969
O14733,DB05984
O14733,DB06314
O14733,DB06486
O14733,DB06589
O14733,DB06616
O14733,DB06626
O14733,DB06999
O14733,DB07159
O14733,DB07528
O14733,DB08094
O14733,DB08142
O14733,DB08568
O14733,DB08865
O14733,DB08877
O14733,DB08895
O14733,DB08916
O14733,DB09079
O14733,DB11526
O14733,DB11663
O14733,DB11689
O14733,DB11828
O14733,DB11829
O14733,DB11958
O14733,DB12307
O14733,DB12429
O14733,DB12500
O14733,DB12745
O14733,DB12874
O14733,DB14924
O14744,DB01752
O14746,DB00132
O14746,DB02709
O14746,DB04115
O14746,DB04224
O14746,DB04257
O14746,DB04690
O14746,DB04801
O14746,DB11780
O14746,DB14104
O14746,DB15579
O14757,DB00171
O14757,DB00227
O14757,DB00773
O14757,DB01427
O14757,DB01765
O14757,DB01809
O14757,DB01933
O14757,DB01946
O14757,DB02567
O14757,DB03693
O14757,DB04216
O14757,DB04719
O14757,DB04849
O14757,DB04868
O14757,DB05524
O14757,DB05552
O14757,DB06314
O14757,DB06486
O14757,DB06616
O14757,DB06626
O14757,DB06852
O14757,DB06944
O14757,DB06999
O14757,DB07006
O14757,DB07025
O14757,DB07075
O14757,DB07101
O14757,DB07126
O14757,DB07149
O14757,DB07159
O14757,DB07167
O14757,DB07213
O14757,DB07253
O14757,DB07265
O14757,DB07266
O14757,DB07268
O14757,DB07335
O14757,DB07352
O14757,DB07398
O14757,DB07457
O14757,DB07528
O14757,DB07534
O14757,DB07653
O14757,DB07654
O14757,DB07687
O14757,DB07715
O14757,DB07854
O14757,DB07856
O14757,DB07876
O14757,DB07919
O14757,DB08036
O14757,DB08052
O14757,DB08053
O14757,DB08054
O14757,DB08094
O14757,DB08142
O14757,DB08148
O14757,DB08300
O14757,DB08774
O14757,DB08865
O14757,DB08877
O14757,DB08916
O14757,DB09330
O14757,DB11526
O14757,DB11663
O14757,DB11689
O14757,DB11775
O14757,DB11778
O14757,DB11828
O14757,DB11899
O14757,DB11958
O14757,DB11986
O14757,DB12072
O14757,DB12302
O14757,DB12307
O14757,DB12500
O14757,DB12686
O14757,DB12745
O14757,DB13875
O14757,DB15110
O14757,DB15186
O14757,DB15187
O14763,DB14122
O14763,DB15584
O14842,DB01132
O14842,DB02955
O14842,DB03704
O14842,DB11875
O14842,DB13854
O14843,DB03166
O14843,DB03568
O14843,DB03766
O14843,DB15406
O14880,DB11831
O14920,DB00173
O14920,DB00317
O14920,DB00936
O14920,DB01254
O14920,DB01259
O14920,DB01809
O14920,DB02352
O14920,DB02567
O14920,DB03496
O14920,DB03693
O14920,DB04849
O14920,DB04868
O14920,DB04879
O14920,DB05294
O14920,DB05424
O14920,DB05552
O14920,DB05575
O14920,DB05928
O14920,DB05969
O14920,DB05984
O14920,DB06195
O14920,DB06314
O14920,DB06486
O14920,DB06521
O14920,DB06589
O14920,DB06616
O14920,DB06626
O14920,DB06944
O14920,DB06999
O14920,DB07101
O14920,DB07159
O14920,DB07266
O14920,DB07335
O14920,DB07496
O14920,DB07601
O14920,DB07728
O14920,DB07731
O14920,DB07854
O14920,DB07856
O14920,DB07876
O14920,DB07919
O14920,DB08052
O14920,DB08053
O14920,DB08054
O14920,DB08059
O14920,DB08094
O14920,DB08142
O14920,DB08300
O14920,DB08358
O14920,DB08568
O14920,DB08780
O14920,DB08865
O14920,DB08877
O14920,DB08895
O14920,DB08916
O14920,DB09079
O14920,DB11526
O14920,DB11663
O14920,DB11689
O14920,DB11778
O14920,DB11828
O14920,DB11958
O14920,DB11986
O14920,DB12072
O14920,DB12270
O14920,DB12307
O14920,DB12500
O14920,DB12686
O14920,DB12745
O14920,DB13875
O14920,DB15110
O14920,DB15186
O14936,DB00317
O14936,DB00398
O14936,DB00530
O14936,DB00619
O14936,DB01254
O14936,DB01259
O14936,DB01268
O14936,DB02010
O14936,DB02567
O14936,DB03044
O14936,DB03496
O14936,DB04849
O14936,DB04868
O14936,DB04879
O14936,DB05294
O14936,DB05424
O14936,DB05465
O14936,DB05552
O14936,DB05575
O14936,DB05928
O14936,DB05969
O14936,DB05984
O14936,DB06314
O14936,DB06486
O14936,DB06589
O14936,DB06595
O14936,DB06616
O14936,DB06626
O14936,DB06999
O14936,DB07138
O14936,DB07159
O14936,DB08094
O14936,DB08142
O14936,DB08568
O14936,DB08865
O14936,DB08877
O14936,DB08895
O14936,DB08916
O14936,DB09079
O14936,DB11526
O14936,DB11663
O14936,DB11689
O14936,DB11828
O14936,DB11829
O14936,DB11958
O14936,DB12307
O14936,DB12429
O14936,DB12500
O14936,DB12745
O14936,DB12874
O14936,DB13061
O14965,DB00173
O14965,DB00235
O14965,DB00359
O14965,DB00997
O14965,DB02352
O14965,DB02567
O14965,DB02833
O14965,DB04849
O14965,DB04868
O14965,DB05552
O14965,DB06314
O14965,DB06486
O14965,DB06616
O14965,DB06626
O14965,DB06803
O14965,DB06999
O14965,DB07159
O14965,DB07264
O14965,DB07274
O14965,DB07335
O14965,DB07340
O14965,DB07460
O14965,DB07496
O14965,DB07562
O14965,DB07731
O14965,DB07801
O14965,DB07835
O14965,DB07854
O14965,DB07856
O14965,DB08052
O14965,DB08053
O14965,DB08054
O14965,DB08094
O14965,DB08300
O14965,DB08355
O14965,DB08568
O14965,DB08780
O14965,DB08846
O14965,DB08865
O14965,DB08877
O14965,DB08916
O14965,DB09079
O14965,DB09330
O14965,DB11526
O14965,DB11663
O14965,DB11689
O14965,DB11694
O14965,DB11828
O14965,DB11958
O14965,DB11986
O14965,DB12302
O14965,DB12307
O14965,DB12411
O14965,DB12429
O14965,DB12500
O14965,DB12610
O14965,DB12686
O14965,DB12745
O14965,DB14943
O14965,DB15068
O14965,DB15110
O14965,DB15186
O14976,DB01809
O14976,DB02424
O14976,DB02567
O14976,DB03758
O14976,DB03921
O14976,DB04849
O14976,DB04868
O14976,DB05552
O14976,DB06314
O14976,DB06486
O14976,DB06626
O14976,DB06999
O14976,DB07159
O14976,DB07835
O14976,DB08094
O14976,DB08142
O14976,DB08424
O14976,DB08568
O14976,DB08865
O14976,DB08877
O14976,DB08916
O14976,DB09079
O14976,DB11526
O14976,DB11663
O14976,DB11689
O14976,DB11828
O14976,DB11958
O14976,DB12302
O14976,DB12307
O14976,DB12429
O14976,DB12500
O14976,DB12745
O14980,DB04665
O15075,DB02567
O15075,DB04849
O15075,DB04868
O15075,DB05524
O15075,DB05552
O15075,DB06195
O15075,DB06314
O15075,DB06486
O15075,DB06616
O15075,DB06626
O15075,DB06999
O15075,DB07159
O15075,DB08094
O15075,DB08142
O15075,DB08568
O15075,DB08865
O15075,DB08877
O15075,DB08916
O15075,DB09079
O15075,DB11526
O15075,DB11663
O15075,DB11689
O15075,DB11828
O15075,DB11958
O15075,DB12302
O15075,DB12307
O15075,DB12429
O15075,DB12500
O15075,DB12745
O15111,DB00317
O15111,DB00530
O15111,DB01254
O15111,DB01259
O15111,DB02567
O15111,DB03044
O15111,DB03496
O15111,DB04849
O15111,DB04868
O15111,DB04879
O15111,DB05294
O15111,DB05424
O15111,DB05552
O15111,DB05575
O15111,DB05928
O15111,DB05969
O15111,DB05984
O15111,DB06314
O15111,DB06486
O15111,DB06589
O15111,DB06616
O15111,DB06626
O15111,DB06999
O15111,DB07159
O15111,DB07234
O15111,DB07266
O15111,DB08094
O15111,DB08142
O15111,DB08568
O15111,DB08865
O15111,DB08877
O15111,DB08895
O15111,DB08916
O15111,DB09079
O15111,DB11526
O15111,DB11663
O15111,DB11689
O15111,DB11828
O15111,DB11829
O15111,DB11958
O15111,DB12307
O15111,DB12429
O15111,DB12500
O15111,DB12745
O15111,DB15186
O15118,DB03791
O15118,DB04705
O15118,DB04849
O15118,DB04872
O15118,DB07080
O15118,DB11742
O15118,DB14066
O15121,DB05076
