	protein_ac	gene_name	protein_name
8298	P21554	CNR1	CNR1_HUMAN
8299	Q96EY5	MVB12A	MB12A_HUMAN
8300	P11487	FGF3	FGF3_HUMAN
8301	Q7Z7H5	TMED4	TMED4_HUMAN
8302	Q5QJ74	TBCEL	TBCEL_HUMAN
8303	Q8N9N7	LRRC57	LRC57_HUMAN
8304	O00391	QSOX1	QSOX1_HUMAN
8305	P17035	ZNF28	ZNF28_HUMAN
8306	Q9NPI6	DCP1A	DCP1A_HUMAN
8307	Q8WUH2	TGFBRAP1	TGFA1_HUMAN
8308	Q9UIG0	BAZ1B	BAZ1B_HUMAN
8309	Q9BX97	PLVAP	PLVAP_HUMAN
8310	O94941	UBOX5	RNF37_HUMAN
8311	Q52LJ0	FAM98B	FA98B_HUMAN
8312	Q9NPA3	MID1IP1	M1IP1_HUMAN
8313	P43897	TSFM	EFTS_HUMAN
8314	Q8N0X7	SPART	SPART_HUMAN
8315	P52888	THOP1	THOP1_HUMAN
8316	O75354	ENTPD6	ENTP6_HUMAN
8317	O14548	COX7A2L	COX7R_HUMAN
8318	Q96BN2	TADA1	TADA1_HUMAN
8319	O94967	WDR47	WDR47_HUMAN
8320	Q6UWL2	SUSD1	SUSD1_HUMAN
8321	P23467	PTPRB	PTPRB_HUMAN
8322	P51674	GPM6A	GPM6A_HUMAN
8323	O75385	ULK1	ULK1_HUMAN
8324	Q8NDV3	SMC1B	SMC1B_HUMAN
8325	Q9Y2D5	AKAP2	AKAP2_HUMAN
8326	Q8NB14	USP38	UBP38_HUMAN
8327	Q8N5V2	NGEF	NGEF_HUMAN
8328	Q9NZ32	ACTR10	ARP10_HUMAN
8329	Q15125	EBP	EBP_HUMAN
8330	Q9UNN4	GTF2A1L	TF2AY_HUMAN
8331	O96018	APBA3	APBA3_HUMAN
8332	O75362	ZNF217	ZN217_HUMAN
8333	Q9P0Z9	PIPOX	SOX_HUMAN
8334	O94979	SEC31A	SC31A_HUMAN
8335	Q6NT76	HMBOX1	HMBX1_HUMAN
8336	P57088	TMEM33	TMM33_HUMAN
8337	O75791	GRAP2	GRAP2_HUMAN
8338	P33076	CIITA	C2TA_HUMAN
8339	O14519	CDK2AP1	CDKA1_HUMAN
8340	Q6ZTQ3	RASSF6	RASF6_HUMAN
8341	Q92600	CNOT9	CNOT9_HUMAN
8342	P43360	MAGEA6	MAGA6_HUMAN
8343	Q16143	SNCB	SYUB_HUMAN
8344	Q8WW35	TCTEX1D2	TC1D2_HUMAN
8345	Q969U7	PSMG2	PSMG2_HUMAN
8346	Q15072	ZNF146	OZF_HUMAN
8347	P05089	ARG1	ARGI1_HUMAN
8348	O15084	ANKRD28	ANR28_HUMAN
8349	Q969Z4	RELT	TR19L_HUMAN
8350	P17509	HOXB6	HXB6_HUMAN
8351	Q13231	CHIT1	CHIT1_HUMAN
8352	Q96DB5	RMDN1	RMD1_HUMAN
8353	Q15477	SKIV2L	SKIV2_HUMAN
