	protein_ac	gene_name	protein_name
2005	Q86VZ2	WDR5B	WDR5B_HUMAN
2006	Q8NHG8	ZNRF2	ZNRF2_HUMAN
2007	Q9UNL2	SSR3	SSRG_HUMAN
2008	Q86W33	TPRA1	TPRA1_HUMAN
2009	Q96N66	MBOAT7	MBOA7_HUMAN
2010	P52756	RBM5	RBM5_HUMAN
2011	Q01831	XPC	XPC_HUMAN
2012	Q8WWB7	GLMP	GLMP_HUMAN
2013	Q9Y5Y5	PEX16	PEX16_HUMAN
2014	Q9BVJ6	UTP14A	UT14A_HUMAN
2015	Q9C0J8	WDR33	WDR33_HUMAN
2016	Q96PV7	FAM193B	F193B_HUMAN
2017	P50222	MEOX2	MEOX2_HUMAN
2018	Q00872	MYBPC1	MYPC1_HUMAN
2019	Q9UBL6	CPNE7	CPNE7_HUMAN
2020	A1L4K1	FSD2	FSD2_HUMAN
2021	Q8TAU3	ZNF417	ZN417_HUMAN
2022	Q13952	NFYC	NFYC_HUMAN
2023	Q96G97	BSCL2	BSCL2_HUMAN
2024	Q6Y7W6	GIGYF2	GGYF2_HUMAN
2025	P15336	ATF2	ATF2_HUMAN
2026	P37802	TAGLN2	TAGL2_HUMAN
2027	Q8IW45	NAXD	NNRD_HUMAN
2028	Q99700	ATXN2	ATX2_HUMAN
2029	Q9UBG0	MRC2	MRC2_HUMAN
2030	Q3LI76	KRTAP15-1	KR151_HUMAN
2031	P16035	TIMP2	TIMP2_HUMAN
2032	P35813	PPM1A	PPM1A_HUMAN
2033	Q9BUB4	ADAT1	ADAT1_HUMAN
2034	P12429	ANXA3	ANXA3_HUMAN
2035	Q15257	PTPA	PTPA_HUMAN
2036	Q96I24	FUBP3	FUBP3_HUMAN
2037	Q6ZRI8	ARHGAP36	RHG36_HUMAN
2038	P09874	PARP1	PARP1_HUMAN
2039	Q9Y6F1	PARP3	PARP3_HUMAN
2040	A6NHR9	SMCHD1	SMHD1_HUMAN
2041	P46531	NOTCH1	NOTC1_HUMAN
2042	P17024	ZNF20	ZNF20_HUMAN
2043	P60370	KRTAP10-5	KR105_HUMAN
2044	P40617	ARL4A	ARL4A_HUMAN
2045	Q96JJ3	ELMO2	ELMO2_HUMAN
2046	Q9Y5X1	SNX9	SNX9_HUMAN
2047	P35268	RPL22	RL22_HUMAN
2048	Q6ZTR5	CFAP47	CFA47_HUMAN
2049	Q5TEU4	NDUFAF5	NDUF5_HUMAN
2050	Q9BTZ2	DHRS4	DHRS4_HUMAN
2051	P13569	CFTR	CFTR_HUMAN
2052	Q5XXA6	ANO1	ANO1_HUMAN
2053	O75792	RNASEH2A	RNH2A_HUMAN
2054	Q8N9M1	C19orf47	CS047_HUMAN
2055	Q9BVQ7	SPATA5L1	SPA5L_HUMAN
2056	O75807	PPP1R15A	PR15A_HUMAN
2057	Q969K7	TMEM54	TMM54_HUMAN
2058	P82930	MRPS34	RT34_HUMAN
2059	Q5JS54	PSMG4	PSMG4_HUMAN
2060	O75475	PSIP1	PSIP1_HUMAN
2061	P20810	CAST	ICAL_HUMAN
2062	Q14004	CDK13	CDK13_HUMAN
2063	Q9BSI4	TINF2	TINF2_HUMAN
2064	P27797	CALR	CALR_HUMAN
2065	P55072	VCP	TERA_HUMAN
2066	Q9P287	BCCIP	BCCIP_HUMAN
2067	O60906	SMPD2	NSMA_HUMAN
2068	Q9Y5G8	PCDHGA5	PCDG5_HUMAN
2069	P58400	NRXN1	NRX1B_HUMAN
2070	Q7L8C5	SYT13	SYT13_HUMAN
2071	Q8IX12	CCAR1	CCAR1_HUMAN
2072	Q86U28	ISCA2	ISCA2_HUMAN
2073	Q9H4P4	RNF41	RNF41_HUMAN
2074	Q9UNX3	RPL26L1	RL26L_HUMAN
2075	Q8NHU3	SGMS2	SMS2_HUMAN
2076	Q9H7Z5		Q9H7Z5_HUMAN
2077	Q9NNW7	TXNRD2	TRXR2_HUMAN
2078	O15534	PER1	PER1_HUMAN
2079	P23588	EIF4B	IF4B_HUMAN
2080	Q9Y4L5	RNF115	RN115_HUMAN
2081	Q5PRF9	SAMD4B	SMAG2_HUMAN
2082	P11441	UBL4A	UBL4A_HUMAN
2083	O14764	GABRD	GBRD_HUMAN
2084	P78344	EIF4G2	IF4G2_HUMAN
2085	P20645	M6PR	MPRD_HUMAN
2086	Q9BPU9	B9D2	B9D2_HUMAN
2087	Q9UIV1	CNOT7	CNOT7_HUMAN
2088	P63244	RACK1	RACK1_HUMAN
2089	Q96RT7	TUBGCP6	GCP6_HUMAN
2090	Q9BVA0	KATNB1	KTNB1_HUMAN
2091	O75461	E2F6	E2F6_HUMAN
2092	Q5VZL5	ZMYM4	ZMYM4_HUMAN
2093	O60306	AQR	AQR_HUMAN
2094	Q9ULR0	ISY1	ISY1_HUMAN
2095	P63096	GNAI1	GNAI1_HUMAN
2096	P63218	GNG5	GBG5_HUMAN
2097	P62269	RPS18	RS18_HUMAN
2098	Q7Z417	NUFIP2	NUFP2_HUMAN
2099	P43026	GDF5	GDF5_HUMAN
2100	Q9UIV8	SERPINB13	SPB13_HUMAN
2101	P24928	POLR2A	RPB1_HUMAN
2102	Q9BUE0	MED18	MED18_HUMAN
2103	P51170	SCNN1G	SCNNG_HUMAN
2104	A5PL33	KRBA1	KRBA1_HUMAN
2105	Q96E35	ZMYND19	ZMY19_HUMAN
2106	P62263	RPS14	RS14_HUMAN
2107	Q9Y222	DMTF1	DMTF1_HUMAN
2108	Q8N1I0	DOCK4	DOCK4_HUMAN
2109	Q15067	ACOX1	ACOX1_HUMAN
2110	Q8N6N7	ACBD7	ACBD7_HUMAN
2111	Q9Y2J2	EPB41L3	E41L3_HUMAN
2112	Q9NP72	RAB18	RAB18_HUMAN
2113	O94972	TRIM37	TRI37_HUMAN
2114	P61077	UBE2D3	UB2D3_HUMAN
2115	Q8NHX4	SPATA3	SPTA3_HUMAN
2116	Q16821	PPP1R3A	PPR3A_HUMAN
2117	Q96KQ4	PPP1R13B	ASPP1_HUMAN
2118	P21359	NF1	NF1_HUMAN
2119	P17010	ZFX	ZFX_HUMAN
2120	Q16828	DUSP6	DUS6_HUMAN
2121	Q9BQ95	ECSIT	ECSIT_HUMAN
2122	O94822	LTN1	LTN1_HUMAN
2123	P43631	KIR2DS2	KI2S2_HUMAN
2124	Q14651	PLS1	PLSI_HUMAN
2125	Q9UIM3	FKBPL	FKBPL_HUMAN
2126	Q13247	SRSF6	SRSF6_HUMAN
2127	O60573	EIF4E2	IF4E2_HUMAN
2128	O95059	RPP14	RPP14_HUMAN
2129	P78345	RPP38	RPP38_HUMAN
2130	Q9NZH0	GPRC5B	GPC5B_HUMAN
2131	Q8N137	CNTROB	CNTRB_HUMAN
2132	Q9BWW4	SSBP3	SSBP3_HUMAN
2133	Q9NPJ8	NXT2	NXT2_HUMAN
2134	Q9Y3M2	CBY1	CBY1_HUMAN
2135	Q8NB46	ANKRD52	ANR52_HUMAN
2136	Q96HB5	CCDC120	CC120_HUMAN
2137	Q99418	CYTH2	CYH2_HUMAN
2138	P01034	CST3	CYTC_HUMAN
2139	Q96DX5	ASB9	ASB9_HUMAN
2140	Q14849	STARD3	STAR3_HUMAN
2141	P54259	ATN1	ATN1_HUMAN
2142	P55060	CSE1L	XPO2_HUMAN
2143	Q9C0B0	UNK	UNK_HUMAN
2144	Q9NVX0	HAUS2	HAUS2_HUMAN
2145	Q9P209	CEP72	CEP72_HUMAN
2146	P04350	TUBB4A	TBB4A_HUMAN
2147	P78545	ELF3	ELF3_HUMAN
2148	P04114	APOB	APOB_HUMAN
2149	Q9H9S3	SEC61A2	S61A2_HUMAN
2150	Q86VQ0	LCA5	LCA5_HUMAN
2151	Q86WT1	TTC30A	TT30A_HUMAN
2152	O43776	NARS1	SYNC_HUMAN
2153	Q96T21	SECISBP2	SEBP2_HUMAN
2154	O15151	MDM4	MDM4_HUMAN
2155	O76083	PDE9A	PDE9A_HUMAN
2156	Q15464	SHB	SHB_HUMAN
2157	P62854	RPS26	RS26_HUMAN
2158	P49753	ACOT2	ACOT2_HUMAN
2159	Q96GD4	AURKB	AURKB_HUMAN
2160	Q8IW41	MAPKAPK5	MAPK5_HUMAN
2161	O00459	PIK3R2	P85B_HUMAN
2162	O15455	TLR3	TLR3_HUMAN
2163	Q9H0E2	TOLLIP	TOLIP_HUMAN
2164	Q29983	MICA	MICA_HUMAN
2165	Q9BWX1	PHF7	PHF7_HUMAN
2166	O14617	AP3D1	AP3D1_HUMAN
2167	P00558	PGK1	PGK1_HUMAN
2168	Q6K0P9	PYHIN1	IFIX_HUMAN
2169	Q96MX6	WDR92	WDR92_HUMAN
2170	P35240	NF2	MERL_HUMAN
2171	Q9Y4W6	AFG3L2	AFG32_HUMAN
2172	P35226	BMI1	BMI1_HUMAN
2173	Q99956	DUSP9	DUS9_HUMAN
2174	Q9NVJ2	ARL8B	ARL8B_HUMAN
2175	P35580	MYH10	MYH10_HUMAN
2176	P61587	RND3	RND3_HUMAN
2177	Q13464	ROCK1	ROCK1_HUMAN
2178	O75376	NCOR1	NCOR1_HUMAN
2179	P80297	MT1X	MT1X_HUMAN
2180	O60383	GDF9	GDF9_HUMAN
2181	P86791	CCZ1	CCZ1_HUMAN
2182	Q3SY56	SP6	SP6_HUMAN
2183	Q6XQN6	NAPRT	PNCB_HUMAN
2184	O14733	MAP2K7	MP2K7_HUMAN
2185	P04075	ALDOA	ALDOA_HUMAN
2186	O43524	FOXO3	FOXO3_HUMAN
2187	Q9UJW9	SERTAD3	SRTD3_HUMAN
2188	Q9BVJ7	DUSP23	DUS23_HUMAN
2189	Q9P2S5	WRAP73	WRP73_HUMAN
2190	O60729	CDC14B	CC14B_HUMAN
2191	P17096	HMGA1	HMGA1_HUMAN
2192	P17482	HOXB9	HXB9_HUMAN
2193	Q06330	RBPJ	SUH_HUMAN
2194	Q13286	CLN3	CLN3_HUMAN
2195	Q9H3U1	UNC45A	UN45A_HUMAN
2196	O94832	MYO1D	MYO1D_HUMAN
2197	Q92731	ESR2	ESR2_HUMAN
2198	P37198	NUP62	NUP62_HUMAN
2199	Q13492	PICALM	PICAL_HUMAN
2200	Q9H2D1	SLC25A32	MFTC_HUMAN
2201	Q05932	FPGS	FOLC_HUMAN
2202	Q8IXS6	PALM2	PALM2_HUMAN
2203	P27169	PON1	PON1_HUMAN
2204	P35637	FUS	FUS_HUMAN
2205	P15408	FOSL2	FOSL2_HUMAN
2206	Q7L5Y6	DET1	DET1_HUMAN
2207	O75936	BBOX1	BODG_HUMAN
2208	Q9BY42	RTF2	RTF2_HUMAN
2209	P01127	PDGFB	PDGFB_HUMAN
2210	P12109	COL6A1	CO6A1_HUMAN
2211	Q08945	SSRP1	SSRP1_HUMAN
2212	Q9Y657	SPIN1	SPIN1_HUMAN
2213	Q15714	TSC22D1	T22D1_HUMAN
2214	P57771	RGS8	RGS8_HUMAN
2215	Q6PGP7	TTC37	TTC37_HUMAN
2216	Q9BQL6	FERMT1	FERM1_HUMAN
2217	P34949	MPI	MPI_HUMAN
2218	P48739	PITPNB	PIPNB_HUMAN
2219	Q8TCE6	DENND10	DEN10_HUMAN
2220	Q9NX08	COMMD8	COMD8_HUMAN
2221	Q6ZU52	KIAA0408	K0408_HUMAN
2222	Q15048	LRRC14	LRC14_HUMAN
2223	Q15370	ELOB	ELOB_HUMAN
2224	Q5BKT4	ALG10	AG10A_HUMAN
2225	Q8TCT7	SPPL2B	SPP2B_HUMAN
2226	O95477	ABCA1	ABCA1_HUMAN
2227	P53667	LIMK1	LIMK1_HUMAN
2228	Q96GS6	ABHD17A	AB17A_HUMAN
2229	Q9Y3C7	MED31	MED31_HUMAN
2230	P56539	CAV3	CAV3_HUMAN
2231	Q92556	ELMO1	ELMO1_HUMAN
2232	Q15797	SMAD1	SMAD1_HUMAN
2233	O60216	RAD21	RAD21_HUMAN
2234	Q9UI08	EVL	EVL_HUMAN
2235	P60866	RPS20	RS20_HUMAN
2236	Q53HC9	EIPR1	EIPR1_HUMAN
2237	Q9ULM3	YEATS2	YETS2_HUMAN
2238	P78406	RAE1	RAE1L_HUMAN
2239	P61513	RPL37A	RL37A_HUMAN
2240	Q9BRK4	LZTS2	LZTS2_HUMAN
2241	Q9UIA0	CYTH4	CYH4_HUMAN
2242	P08590	MYL3	MYL3_HUMAN
2243	P21246	PTN	PTN_HUMAN
2244	O00429	DNM1L	DNM1L_HUMAN
2245	Q9BYK8	HELZ2	HELZ2_HUMAN
2246	Q8N7X8	SIGLECL1	SIGL1_HUMAN
2247	Q9Y6D6	ARFGEF1	BIG1_HUMAN
2248	O95429	BAG4	BAG4_HUMAN
2249	O00213	APBB1	APBB1_HUMAN
2250	P25791	LMO2	RBTN2_HUMAN
2251	P16284	PECAM1	PECA1_HUMAN
2252	P19320	VCAM1	VCAM1_HUMAN
2253	P61088	UBE2N	UBE2N_HUMAN
2254	Q96DB2	HDAC11	HDA11_HUMAN
2255	O00221	NFKBIE	IKBE_HUMAN
2256	P14923	JUP	PLAK_HUMAN
2257	Q96IP4	TENT5A	TET5A_HUMAN
2258	Q96KS0	EGLN2	EGLN2_HUMAN
2259	P56962	STX17	STX17_HUMAN
2260	P07737	PFN1	PROF1_HUMAN
2261	P50552	VASP	VASP_HUMAN
2262	P62906	RPL10A	RL10A_HUMAN
2263	P47897	QARS	SYQ_HUMAN
2264	Q96PV4	PNMA5	PNMA5_HUMAN
2265	Q9UK41	VPS28	VPS28_HUMAN
2266	P41240	CSK	CSK_HUMAN
2267	Q8NDZ2	SIMC1	SIMC1_HUMAN
2268	Q96F46	IL17RA	I17RA_HUMAN
2269	P50548	ERF	ERF_HUMAN
2270	Q9Y5Y2	NUBP2	NUBP2_HUMAN
2271	Q9BXL7	CARD11	CAR11_HUMAN
2272	Q6Q0C0	TRAF7	TRAF7_HUMAN
2273	P48788	TNNI2	TNNI2_HUMAN
2274	Q6N043	ZNF280D	Z280D_HUMAN
2275	Q9BQA5	HINFP	HINFP_HUMAN
2276	Q0VDF9	HSPA14	HSP7E_HUMAN
2277	P04040	CAT	CATA_HUMAN
2278	Q9UII2	ATP5IF1	ATIF1_HUMAN
2279	Q5D862	FLG2	FILA2_HUMAN
2280	P61964	WDR5	WDR5_HUMAN
2281	Q16512	PKN1	PKN1_HUMAN
2282	P07947	YES1	YES_HUMAN
2283	Q9NR12	PDLIM7	PDLI7_HUMAN
2284	O43257	ZNHIT1	ZNHI1_HUMAN
2285	Q96C86	DCPS	DCPS_HUMAN
2286	Q9Y3D9	MRPS23	RT23_HUMAN
2287	Q8IUD2	ERC1	RB6I2_HUMAN
2288	Q9BQ69	MACROD1	MACD1_HUMAN
2289	P17948	FLT1	VGFR1_HUMAN
2290	Q5TGY1	TMCO4	TMCO4_HUMAN
2291	P46779	RPL28	RL28_HUMAN
2292	Q9H307	PNN	PININ_HUMAN
2293	Q02539	H1-1	H11_HUMAN
2294	Q2Q1W2	TRIM71	LIN41_HUMAN
2295	Q8NG41	NPB	NPB_HUMAN
2296	P16383	GCFC2	GCFC2_HUMAN
2297	Q9BUQ8	DDX23	DDX23_HUMAN
2298	O60675	MAFK	MAFK_HUMAN
2299	Q9Y4A8	NFE2L3	NF2L3_HUMAN
2300	P10589	NR2F1	COT1_HUMAN
2301	Q96SW2	CRBN	CRBN_HUMAN
2302	Q9Y6Y0	IVNS1ABP	NS1BP_HUMAN
2303	P23416	GLRA2	GLRA2_HUMAN
2304	Q04609	FOLH1	FOLH1_HUMAN
2305	Q13416	ORC2	ORC2_HUMAN
2306	Q8IXJ6	SIRT2	SIR2_HUMAN
2307	P55795	HNRNPH2	HNRH2_HUMAN
2308	A5D8T8	CLEC18A	CL18A_HUMAN
2309	O00212	RHOD	RHOD_HUMAN
2310	O75962	TRIO	TRIO_HUMAN
2311	Q3MHD2	LSM12	LSM12_HUMAN
2312	Q9P035	HACD3	HACD3_HUMAN
2313	Q8WYP5	AHCTF1	ELYS_HUMAN
2314	O75976	CPD	CBPD_HUMAN
2315	Q12952	FOXL1	FOXL1_HUMAN
2316	Q9UPW6	SATB2	SATB2_HUMAN
2317	Q13424	SNTA1	SNTA1_HUMAN
2318	P35610	SOAT1	SOAT1_HUMAN
2319	Q96S52	PIGS	PIGS_HUMAN
2320	P42285	MTREX	MTREX_HUMAN
2321	Q9Y2L1	DIS3	RRP44_HUMAN
2322	O95273	CCNDBP1	CCDB1_HUMAN
2323	P00540	MOS	MOS_HUMAN
2324	Q9UQM7	CAMK2A	KCC2A_HUMAN
2325	P37231	PPARG	PPARG_HUMAN
2326	Q6UY14	ADAMTSL4	ATL4_HUMAN
2327	P31749	AKT1	AKT1_HUMAN
2328	P06858	LPL	LIPL_HUMAN
2329	Q9H1I8	ASCC2	ASCC2_HUMAN
2330	Q8WVV4	POF1B	POF1B_HUMAN
2331	Q9NYY3	PLK2	PLK2_HUMAN
2332	Q8TD31	CCHCR1	CCHCR_HUMAN
2333	Q9UL45	BLOC1S6	BL1S6_HUMAN
2334	Q5UIP0	RIF1	RIF1_HUMAN
2335	Q96Q83	ALKBH3	ALKB3_HUMAN
2336	P49790	NUP153	NU153_HUMAN
2337	O95863	SNAI1	SNAI1_HUMAN
2338	Q13571	LAPTM5	LAPM5_HUMAN
2339	Q9NZ52	GGA3	GGA3_HUMAN
2340	P43307	SSR1	SSRA_HUMAN
2341	Q9H845	ACAD9	ACAD9_HUMAN
2342	Q9NQS7	INCENP	INCE_HUMAN
2343	Q13114	TRAF3	TRAF3_HUMAN
2344	Q9BQ39	DDX50	DDX50_HUMAN
2345	P02549	SPTA1	SPTA1_HUMAN
2346	Q969Q1	TRIM63	TRI63_HUMAN
2347	Q9UK80	USP21	UBP21_HUMAN
2348	Q9UIS9	MBD1	MBD1_HUMAN
2349	Q13619	CUL4A	CUL4A_HUMAN
2350	Q9HAV0	GNB4	GBB4_HUMAN
2351	Q06124	PTPN11	PTN11_HUMAN
2352	Q04760	GLO1	LGUL_HUMAN
2353	O15357	INPPL1	SHIP2_HUMAN
2354	P18858	LIG1	DNLI1_HUMAN
2355	P20036	HLA-DPA1	DPA1_HUMAN
2356	Q9UNQ2	DIMT1	DIM1_HUMAN
2357	P20851	C4BPB	C4BPB_HUMAN
2358	Q5SVS4	SLC25A30	KMCP1_HUMAN
2359	P15924	DSP	DESP_HUMAN
2360	P49902	NT5C2	5NTC_HUMAN
2361	Q6ZVK8	NUDT18	NUD18_HUMAN
2362	O00418	EEF2K	EF2K_HUMAN
2363	P25445	FAS	TNR6_HUMAN
2364	Q6IN85	PPP4R3A	P4R3A_HUMAN
2365	A6NI28	ARHGAP42	RHG42_HUMAN
2366	Q68D51	DENND2C	DEN2C_HUMAN
2367	O75934	BCAS2	SPF27_HUMAN
2368	Q6P2Q9	PRPF8	PRP8_HUMAN
2369	Q16740	CLPP	CLPP_HUMAN
2370	Q9Y697	NFS1	NFS1_HUMAN
2371	Q96J02	ITCH	ITCH_HUMAN
2372	P24522	GADD45A	GA45A_HUMAN
2373	Q92922	SMARCC1	SMRC1_HUMAN
2374	P10644	PRKAR1A	KAP0_HUMAN
2375	Q9GZX7	AICDA	AICDA_HUMAN
2376	Q9HCS7	XAB2	SYF1_HUMAN
2377	P53621	COPA	COPA_HUMAN
2378	P35575	G6PC	G6PC_HUMAN
2379	Q9Y5W8	SNX13	SNX13_HUMAN
2380	Q9H425	C1orf198	CA198_HUMAN
2381	Q56P03	EAPP	EAPP_HUMAN
2382	O95104	SCAF4	SCAF4_HUMAN
2383	Q96L21	RPL10L	RL10L_HUMAN
2384	O15160	POLR1C	RPAC1_HUMAN
2385	Q13347	EIF3I	EIF3I_HUMAN
2386	Q9NVP1	DDX18	DDX18_HUMAN
2387	Q96A47	ISL2	ISL2_HUMAN
2388	Q9Y4X5	ARIH1	ARI1_HUMAN
2389	Q5U651	RASIP1	RAIN_HUMAN
2390	P20073	ANXA7	ANXA7_HUMAN
2391	P30050	RPL12	RL12_HUMAN
2392	Q9NWU5	MRPL22	RM22_HUMAN
2393	Q9ULT6	ZNRF3	ZNRF3_HUMAN
2394	O95696	BRD1	BRD1_HUMAN
2395	P60896	SEM1	SEM1_HUMAN
2396	Q13523	PRPF4B	PRP4B_HUMAN
2397	O43808	SLC25A17	PM34_HUMAN
2398	Q8N9Q2	SREK1IP1	SR1IP_HUMAN
2399	Q15843	NEDD8	NEDD8_HUMAN
2400	P33947	KDELR2	ERD22_HUMAN
2401	Q13530	SERINC3	SERC3_HUMAN
2402	Q9NP87	POLM	DPOLM_HUMAN
2403	Q9UKT9	IKZF3	IKZF3_HUMAN
2404	O15067	PFAS	PUR4_HUMAN
2405	Q99623	PHB2	PHB2_HUMAN
2406	P78385	KRT83	KRT83_HUMAN
2407	A2VCK2	DCDC2B	DCD2B_HUMAN
2408	Q8N6Y1	PCDH20	PCD20_HUMAN
2409	A5D8V7	CCDC151	CC151_HUMAN
2410	Q9NXX6	NSMCE4A	NSE4A_HUMAN
2411	P49903	SEPHS1	SPS1_HUMAN
2412	Q96E40	SPACA9	SACA9_HUMAN
2413	P21397	MAOA	AOFA_HUMAN
2414	Q9UNE7	STUB1	CHIP_HUMAN
2415	Q03112	MECOM	MECOM_HUMAN
2416	Q16799	RTN1	RTN1_HUMAN
2417	Q8N8J7	FAM241A	F241A_HUMAN
2418	Q96IJ6	GMPPA	GMPPA_HUMAN
2419	Q9H4A6	GOLPH3	GOLP3_HUMAN
2420	Q7L5Y9	MAEA	MAEA_HUMAN
2421	Q99439	CNN2	CNN2_HUMAN
2422	Q9UJ70	NAGK	NAGK_HUMAN
2423	Q04727	TLE4	TLE4_HUMAN
2424	P00966	ASS1	ASSY_HUMAN
2425	P52292	KPNA2	IMA1_HUMAN
2426	O95067	CCNB2	CCNB2_HUMAN
2427	O96020	CCNE2	CCNE2_HUMAN
2428	O95359	TACC2	TACC2_HUMAN
2429	P33981	TTK	TTK_HUMAN
2430	P10997	IAPP	IAPP_HUMAN
2431	P52945	PDX1	PDX1_HUMAN
2432	Q9Y4F1	FARP1	FARP1_HUMAN
2433	Q96A37	RNF166	RN166_HUMAN
2434	Q9NR21	PARP11	PAR11_HUMAN
2435	P46940	IQGAP1	IQGA1_HUMAN
2436	Q6PKG0	LARP1	LARP1_HUMAN
2437	Q9C009	FOXQ1	FOXQ1_HUMAN
2438	O43638	FOXS1	FOXS1_HUMAN
2439	P40425	PBX2	PBX2_HUMAN
2440	P08962	CD63	CD63_HUMAN
2441	O14503	BHLHE40	BHE40_HUMAN
2442	Q5W5X9	TTC23	TTC23_HUMAN
2443	O95166	GABARAP	GBRAP_HUMAN
2444	O75489	NDUFS3	NDUS3_HUMAN
2445	P03886	MT-ND1	NU1M_HUMAN
2446	Q14137	BOP1	BOP1_HUMAN
2447	Q99598	TSNAX	TSNAX_HUMAN
2448	P46937	YAP1	YAP1_HUMAN
2449	P54619	PRKAG1	AAKG1_HUMAN
2450	Q9BR76	CORO1B	COR1B_HUMAN
2451	P20591	MX1	MX1_HUMAN
2452	Q9NZ08	ERAP1	ERAP1_HUMAN
2453	P49662	CASP4	CASP4_HUMAN
2454	Q8IVM8	SLC22A9	S22A9_HUMAN
2455	Q99808	SLC29A1	S29A1_HUMAN
2456	Q9NYK5	MRPL39	RM39_HUMAN
2457	Q9P015	MRPL15	RM15_HUMAN
2458	Q6ZMG9	CERS6	CERS6_HUMAN
2459	P68371	TUBB4B	TBB4B_HUMAN
2460	Q15052	ARHGEF6	ARHG6_HUMAN
2461	Q13153	PAK1	PAK1_HUMAN
2462	Q9NUA8	ZBTB40	ZBT40_HUMAN
2463	P48681	NES	NEST_HUMAN
2464	P55084	HADHB	ECHB_HUMAN
2465	Q9UHD8	SEPTIN9	SEPT9_HUMAN
2466	Q13585	GPR50	MTR1L_HUMAN
2467	P49759	CLK1	CLK1_HUMAN
2468	Q9H000	MKRN2	MKRN2_HUMAN
2469	Q9BVT8	TMUB1	TMUB1_HUMAN
2470	O75822	EIF3J	EIF3J_HUMAN
2471	P42574	CASP3	CASP3_HUMAN
2472	P14136	GFAP	GFAP_HUMAN
2473	Q92685	ALG3	ALG3_HUMAN
2474	P35442	THBS2	TSP2_HUMAN
2475	Q12947	FOXF2	FOXF2_HUMAN
2476	P25705	ATP5F1A	ATPA_HUMAN
2477	P30153	PPP2R1A	2AAA_HUMAN
2478	Q68D86	CCDC102B	C102B_HUMAN
2479	Q86SZ2	TRAPPC6B	TPC6B_HUMAN
2480	Q9HCI5	MAGEE1	MAGE1_HUMAN
2481	P55011	SLC12A2	S12A2_HUMAN
2482	Q401N2	ZACN	ZACN_HUMAN
2483	P13647	KRT5	K2C5_HUMAN
2484	Q9UBS0	RPS6KB2	KS6B2_HUMAN
2485	P62877	RBX1	RBX1_HUMAN
2486	Q92990	GLMN	GLMN_HUMAN
2487	Q13418	ILK	ILK_HUMAN
2488	Q9UMS6	SYNPO2	SYNP2_HUMAN
2489	O75177	SS18L1	CREST_HUMAN
2490	P18847	ATF3	ATF3_HUMAN
2491	Q9UNZ2	NSFL1C	NSF1C_HUMAN
2492	Q13287	NMI	NMI_HUMAN
2493	Q96LT7	C9orf72	CI072_HUMAN
2494	Q8N3J3	C17orf53	CQ053_HUMAN
2495	Q96GW9	MARS2	SYMM_HUMAN
2496	Q9NRU3	CNNM1	CNNM1_HUMAN
2497	Q15185	PTGES3	TEBP_HUMAN
2498	Q8IVT5	KSR1	KSR1_HUMAN
2499	P58012	FOXL2	FOXL2_HUMAN
2500	Q13084	MRPL28	RM28_HUMAN
2501	Q9BYC8	MRPL32	RM32_HUMAN
2502	P39023	RPL3	RL3_HUMAN
2503	O00214	LGALS8	LEG8_HUMAN
2504	O94886	TMEM63A	CSCL1_HUMAN
2505	Q9UF02	CACNG5	CCG5_HUMAN
2506	P49750	YLPM1	YLPM1_HUMAN
2507	O00141	SGK1	SGK1_HUMAN
2508	P00492	HPRT1	HPRT_HUMAN
2509	Q9Y617	PSAT1	SERC_HUMAN
2510	Q8NEN9	PDZD8	PDZD8_HUMAN
2511	Q9Y5E2	PCDHB7	PCDB7_HUMAN
2512	P31153	MAT2A	METK2_HUMAN
2513	P34947	GRK5	GRK5_HUMAN
2514	P14780	MMP9	MMP9_HUMAN
2515	P05549	TFAP2A	AP2A_HUMAN
2516	P17987	TCP1	TCPA_HUMAN
2517	Q14914	PTGR1	PTGR1_HUMAN
2518	Q07002	CDK18	CDK18_HUMAN
2519	Q9H7C4	SYNC	SYNCI_HUMAN
2520	Q9Y4J8	DTNA	DTNA_HUMAN
2521	O94817	ATG12	ATG12_HUMAN
2522	P12956	XRCC6	XRCC6_HUMAN
2523	Q15102	PAFAH1B3	PA1B3_HUMAN
2524	P27361	MAPK3	MK03_HUMAN
2525	Q9GZV8	PRDM14	PRD14_HUMAN
2526	Q9P2B4	CTTNBP2NL	CT2NL_HUMAN
2527	Q969W9	PMEPA1	PMEPA_HUMAN
2528	Q9BTE1	DCTN5	DCTN5_HUMAN
2529	Q96EL3	MRPL53	RM53_HUMAN
2530	Q9BQ15	NABP2	SOSB1_HUMAN
2531	O00303	EIF3F	EIF3F_HUMAN
2532	P62495	ETF1	ERF1_HUMAN
2533	Q9Y4A5	TRRAP	TRRAP_HUMAN
2534	P16871	IL7R	IL7RA_HUMAN
2535	Q8WWC4	MAIP1	MAIP1_HUMAN
2536	Q96RQ3	MCCC1	MCCA_HUMAN
2537	O75694	NUP155	NU155_HUMAN
2538	P62834	RAP1A	RAP1A_HUMAN
2539	Q99638	RAD9A	RAD9A_HUMAN
2540	P05160	F13B	F13B_HUMAN
2541	O43639	NCK2	NCK2_HUMAN
2542	Q8WX93	PALLD	PALLD_HUMAN
2543	Q9Y6H5	SNCAIP	SNCAP_HUMAN
2544	P20929	NEB	NEBU_HUMAN
2545	O60343	TBC1D4	TBCD4_HUMAN
