drugbank_id	mondo_id
DB02329	0003749
DB02329	0004247
DB01009	0008143
DB01009	0008383
DB01007	0006014
DB01005	0008170
DB01005	0005105
DB01004	0000878
DB01003	0011786
DB01003	0002313
DB01003	0002308
DB01003	0016586
DB01003	0005642
DB01003	0019085
DB01018	0005302
DB01018	0005044
DB01017	0001797
DB01017	0001249
DB01017	0003781
DB01017	0040728
DB01017	0015766
DB01017	0001080
DB01017	0002258
DB01017	0005961
DB01017	0005976
DB01017	0005888
DB01017	0005834
DB01017	0005777
DB01017	0005664
DB01017	0006921
DB01017	0005683
DB01017	0004277
DB01017	0004264
DB01017	0005247
DB01017	0005249
DB01017	0005119
DB01017	0005076
DB01017	0019633
DB01017	0019359
DB01017	0019360
DB01017	0006019
DB01017	0018077
DB01017	0019186
DB01017	0019095
DB01017	0021201
DB01016	0005148
DB01015	0005989
DB01015	0005808
DB01015	0017776
DB01015	0019345
DB01015	0019121
DB01022	0008159
DB01022	0013361
DB01022	0005298
DB01021	0005044
DB04931	0001676
DB04930	0001794
DB04930	0003482
DB04930	0003471
DB04930	0004525
DB04932	0019514
DB04942	0012883
DB04941	0045030
DB04946	0005090
DB13092	0001797
DB13092	0001249
DB13092	0003781
DB13092	0001080
DB13092	0002258
DB13092	0005961
DB13092	0005976
DB13092	0005888
DB13092	0005834
DB13092	0005777
DB13092	0006921
DB13092	0005683
DB13092	0005545
DB13092	0004277
DB13092	0004264
DB13092	0005247
DB13092	0005249
DB13092	0005119
DB13092	0019633
DB13092	0019359
DB13092	0019360
DB13092	0006019
DB13092	0019186
DB13092	0021201
DB13173	0015674
DB01188	0024343
DB01188	0001461
DB01188	0001405
DB01188	0005984
DB01188	0005915
DB01198	0013600
DB01197	0005044
DB01197	0005016
DB01195	0004981
DB01194	0006875
DB01194	0005338
DB01193	0005044
DB01191	0011122
DB01190	0024389
DB01190	0000265
DB01190	0005972
DB01190	0005970
DB01190	0005545
DB01190	0005316
DB01190	0021201
DB13167	0008383
DB13178	0017773
DB13178	0019975
DB13178	0005347
DB13179	0005972
DB13132	0005920
DB01149	0002009
DB01147	0002258
DB01147	0005961
DB01147	0005970
DB01147	0005545
DB01147	0021201
DB01146	0011786
DB01146	0005642
DB01146	0005492
DB01146	0007448
DB01146	0006004
DB01144	0001744
DB01144	0005338
DB01153	0005984
DB01151	0002050
DB01150	0003781
DB01150	0005545
DB01150	0021201
DB13125	0002049
DB01158	0000190
DB01157	0019121
DB01156	0000694
DB01156	0011122
DB01156	0002009
DB01156	0002050
DB01156	0008575
DB01155	0025598
DB01155	0004652
DB01155	0005972
DB01155	0005867
DB01155	0030602
DB01165	0045031
DB01165	0001964
DB01165	0001797
DB01165	0025598
DB01165	0040732
DB01165	0003781
DB01165	0001080
DB01165	0004795
DB01165	0002186
DB01165	0004652
DB01165	0005972
DB01165	0005970
DB01165	0005945
DB01165	0005867
DB01165	0005619
DB01165	0006939
DB01165	0005545
DB01165	0004277
DB01165	0004264
DB01165	0041095
DB01165	0020920
DB01165	0005280
DB01165	0005297
DB01165	0005247
DB01165	0005249
DB01165	0005119
DB01165	0019345
DB01165	0006032
DB01165	0021201
DB01164	0000745
DB01164	0003019
DB01162	0005044
DB01162	0010811
DB01169	0012883
DB01169	0018871
DB01167	0001648
DB01167	0016426
DB01167	0005657
DB01167	0042233
DB01167	0018312
DB01167	0044070
DB01166	0005295
DB01176	0011786
DB01176	0005709
DB01176	0005642
DB01176	0005324
DB01176	0006004
DB01175	0001942
DB01175	0002009
DB01174	0008000
DB01174	0040797
DB01174	0016532
DB01174	0005754
DB01174	0043537
DB01174	0005027
DB01172	0021108
DB01172	0004789
DB01172	0004652
DB01172	0005247
DB01172	0021201
DB01171	0002050
DB01170	0005044
DB13165	0006875
DB13165	0005041
DB13166	0005044
DB13164	0005233
DB13161	0001516
DB01177	0012883
DB01177	0018874
DB01185	0009421
DB01185	0009047
DB01185	0018997
DB01185	0006823
DB01185	0009710
DB01183	0005530
DB01182	0004981
DB13158	0002406
DB01109	0001243
DB01107	0013600
DB01106	0005642
DB01105	0011122
DB01104	0008114
DB01104	0001247
DB01104	0002050
DB01104	0005383
DB01104	0005146
DB01100	0007661
DB01110	0001461
DB01110	0001405
DB01110	0005984
DB01110	0005915
DB01110	0006014
DB01119	0024677
DB01119	0002177
DB01119	0005803
DB01118	0000190
DB01117	0005920
DB01117	0019121
DB01116	0006932
DB01115	0005044
DB01115	0006021
DB01114	0011786
DB01114	0005709
DB01114	0005642
DB01114	0005492
DB01114	0005324
DB01114	0007448
DB01114	0006004
DB01112	0001316
DB01112	0001080
DB01112	0002186
DB01112	0004652
DB01112	0005970
DB01112	0005945
DB01112	0004592
DB01112	0005545
DB01112	0004277
DB01112	0004264
DB01112	0020920
DB01112	0006670
DB01112	0021201
DB01111	0020920
DB01121	0005027
DB01120	0005148
DB01129	0016586
DB01129	0004247
DB01129	0019610
DB01129	0007186
DB01127	0001461
DB01127	0001405
DB01127	0005984
DB01127	0005915
DB01126	0010811
DB01124	0005148
DB03793	0016367
DB03793	0006594
DB03793	0005100
DB01122	0009688
DB01132	0005148
DB01131	0005920
DB01139	0005970
DB01139	0005945
DB01139	0005545
DB01139	0020920
DB01139	0006669
DB01139	0005247
DB01139	0005249
DB01139	0021201
DB01138	0002144
DB01137	0025598
DB01137	0002186
DB01137	0004652
DB01137	0005972
DB01137	0005970
DB01137	0005867
DB01137	0006939
DB01137	0005545
DB01137	0005119
DB01137	0021201
DB01136	0005044
DB01133	0005382
DB01142	0024613
DB01142	0013600
DB01142	0002050
DB01141	0001648
DB01141	0042233
DB01141	0044070
DB01140	0005545
DB01140	0005247
DB01140	0021201
DB03754	0005642
DB03808	0005629
DB04786	0005459
DB03404	0008294
