	drug_id	protein_ac
183	DB00055	P00451
184	DB00055	P12259
185	DB00055	P05121
186	DB00055	P07204
187	DB00055	P07225
188	DB00055	P00450
189	DB00055	P00734
190	DB00055	P02776
191	DB00055	P05154
192	DB00055	P35237
193	DB00055	P38435
194	DB00055	Q9UNN8
195	DB00056	P20138
196	DB00056	O75015
197	DB00056	P00736
198	DB00056	P02745
199	DB00056	P02746
200	DB00056	P02747
201	DB00056	P08637
202	DB00056	P09871
203	DB00056	P12314
204	DB00056	P12318
205	DB00056	P31994
206	DB00056	P31995
207	DB00058	P08246
208	DB00060	P17181
209	DB00060	P48551
210	DB00061	P62993
211	DB00063	P05106
212	DB00063	P08514
213	DB00065	P01375
214	DB00066	P23945
215	DB00067	P30518
216	DB00067	P37288
217	DB00067	P47901
218	DB00067	P30559
219	DB00068	P17181
220	DB00068	P48551
221	DB00069	P17181
222	DB00069	P48551
223	DB00070	P01137
224	DB00071	P06213
225	DB00071	P08069
226	DB00071	P14735
227	DB00071	P01906
228	DB00071	P01920
229	DB00071	P06400
230	DB00071	P07339
231	DB00071	P16870
232	DB00071	P16519
233	DB00071	P29120
234	DB00071	P48745
235	DB00071	P98164
236	DB00071	Q16270
237	DB00071	Q96C24
238	DB00072	P04626
239	DB00072	P00533
240	DB00072	P00736
241	DB00072	P02745
242	DB00072	P02746
243	DB00072	P02747
244	DB00072	P09871
245	DB00072	P12314
246	DB00072	P12318
247	DB00072	P31994
248	DB00072	P31995
249	DB00072	O75015
250	DB00072	P08637
251	DB00073	P11836
252	DB00074	P01589
253	DB00074	P14784
254	DB00074	P12314
255	DB00074	P08637
256	DB00074	P12318
257	DB00074	P31994
258	DB00074	P31995
259	DB00074	O75015
260	DB00074	P09871
261	DB00074	P00736
262	DB00074	P02745
263	DB00074	P02746
264	DB00074	P02747
265	DB00075	P04234
266	DB00075	P07766
267	DB00075	P09693
268	DB00075	P20963
269	DB00075	O75015
270	DB00075	P00736
271	DB00075	P02745
272	DB00075	P02746
273	DB00075	P02747
274	DB00075	P08637
275	DB00075	P09871
276	DB00075	P12314
277	DB00075	P12318
278	DB00075	P31994
279	DB00075	P31995
280	DB00078	P11836
281	DB00078	O75015
282	DB00078	P00736
283	DB00078	P02745
284	DB00078	P02746
285	DB00078	P02747
286	DB00078	P08637
287	DB00078	P09871
288	DB00078	P12314
289	DB00078	P12318
290	DB00078	P31994
291	DB00078	P31995
292	DB00081	P11836
293	DB00081	O75015
294	DB00081	P00736
295	DB00081	P02745
296	DB00081	P02746
297	DB00081	P02747
298	DB00081	P08637
299	DB00081	P12314
300	DB00081	P12318
