	drug_id	protein_ac
6776	DB00786	P08254
6777	DB00786	P09237
6778	DB00786	P22894
6779	DB00786	P14780
6780	DB00786	P09238
6781	DB00786	P24347
6782	DB00786	P39900
6783	DB00786	P45452
6784	DB00786	P50281
6785	DB00786	P51511
6786	DB00786	P51512
6787	DB00786	Q9ULZ9
6788	DB00786	Q99542
6789	DB00786	O60882
6790	DB00786	Q8N119
6791	DB00786	O75900
6792	DB00786	Q9Y5R2
6793	DB00786	Q9NRE1
6794	DB00786	Q9H306
6795	DB00786	Q9H239
6796	DB00788	P23219
6797	DB00788	P35354
6798	DB00788	P42330
6799	DB00788	P52895
6800	DB00789	P52209
6801	DB00790	P12821
6802	DB00790	Q6FHJ7
6803	DB00792	P35367
6804	DB00794	P14867
6805	DB00794	P47869
6806	DB00794	P34903
6807	DB00794	P48169
6808	DB00794	P31644
6809	DB00794	Q16445
6810	DB00794	P43681
6811	DB00794	P36544
6812	DB00794	P42262
6813	DB00794	Q13002
6814	DB00794	P18505
6815	DB00794	P47870
6816	DB00794	P28472
6817	DB00794	O14764
6818	DB00794	P78334
6819	DB00794	Q8N1C3
6820	DB00794	P18507
6821	DB00794	Q99928
6822	DB00794	O00591
6823	DB00794	Q9UN88
6824	DB00795	P09917
6825	DB00795	P35354
6826	DB00795	P23219
6827	DB00795	P37231
6828	DB00795	O15111
6829	DB00795	O14920
6830	DB00795	Q9UPY5
6831	DB00795	P24752
6832	DB00795	P24557
6833	DB00795	P04054
6834	DB00795	P29466
6835	DB00795	P03956
6836	DB00795	P28482
6837	DB00795	P00918
6838	DB00795	P00915
6839	DB00795	Q96NT5
6840	DB00796	P30556
6841	DB00797	P35348
6842	DB00797	P08913
6843	DB00797	P35367
6844	DB00797	P25021
6845	DB00797	P18825
6846	DB00797	P18089
6847	DB00797	Q96RJ0
6848	DB00798	P98164
6849	DB00798	P00374
6850	DB00799	P10276
6851	DB00799	P28702
6852	DB00799	P13631
6853	DB00799	P10826
6854	DB00800	P21918
6855	DB00800	P21728
6856	DB00800	P18089
6857	DB00800	P18825
6858	DB00800	P08913
6859	DB00800	P35368
6860	DB00800	P25100
6861	DB00800	P35348
6862	DB00800	P21917
6863	DB00800	P14416
6864	DB00800	B2RXH2
6865	DB00800	P55789
6866	DB00801	P14867
6867	DB00801	P47869
6868	DB00801	P34903
6869	DB00801	P31644
6870	DB00801	Q8N1C3
6871	DB00801	P18507
6872	DB00801	Q99928
6873	DB00801	P18505
6874	DB00801	P47870
6875	DB00801	P28472
6876	DB00801	O14764
6877	DB00801	P78334
6878	DB00801	O00591
6879	DB00801	P24046
6880	DB00801	P28476
6881	DB00801	A8MPY1
6882	DB00801	P48169
6883	DB00801	Q16445
6884	DB00801	Q9UN88
6885	DB00802	P35372
6886	DB00802	P08183
6887	DB00804	P11229
6888	DB00804	P08172
6889	DB00804	Q99720
6890	DB00804	Q12809
6891	DB00804	P28223
6892	DB00804	P41595
6893	DB00804	P28335
6894	DB00804	P50406
6895	DB00804	P35462
6896	DB00804	P25021
6897	DB00804	P20309
6898	DB00804	P08173
6899	DB00804	P08912
6900	DB00804	P35498
6901	DB00804	Q99250
6902	DB00804	Q9NY46
6903	DB00805	P21397
6904	DB00805	P41595
6905	DB00805	P28223
6906	DB00805	P28335
6907	DB00805	P22303
6908	DB00805	P31645
6909	DB00805	P21728
6910	DB00805	P14416
6911	DB00805	P11229
6912	DB00806	Q07343
6913	DB00806	P30542
6914	DB00806	O76074
6915	DB00806	P27815
6916	DB00806	P29274
6917	DB00806	P21589
6918	DB00806	P29275
6919	DB00806	P22303
6920	DB00807	Q9Y5Y9
6921	DB00807	Q99720
6922	DB00807	P21397
6923	DB00807	P35498
6924	DB00807	Q99250
6925	DB00807	Q9NY46
6926	DB00808	P55017
6927	DB00808	P51787
6928	DB00808	P00918
6929	DB00808	O43570
6930	DB00808	P22748
6931	DB00808	Q8N1Q1
6932	DB00808	P35218
6933	DB00808	Q9ULX7
6934	DB00808	P43166
6935	DB00808	Q16790
6936	DB00808	P00915
6937	DB00808	Q9Y2D0
6938	DB00808	P23280
6939	DB00809	P08173
6940	DB00809	P11229
6941	DB00809	P08172
6942	DB00809	P20309
6943	DB00809	P08912
6944	DB00809	P11712
6945	DB00809	P33261
6946	DB00810	Q15822
6947	DB00810	P11229
6948	DB00810	P08912
6949	DB00810	P08172
6950	DB00810	P20309
6951	DB00810	P08173
6952	DB00811	P20839
6953	DB00811	P12268
6954	DB00811	P49902
6955	DB00811	P22413
6956	DB00811	P11387
6957	DB00811	P55263
6958	DB00812	P35354
6959	DB00812	Q16647
6960	DB00812	P23219
6961	DB00812	P11712
6962	DB00812	P21462
6963	DB00813	P35372
6964	DB00813	P41143
6965	DB00813	P41145
6966	DB00813	P08183
6967	DB00813	Q12809
6968	DB00813	P21397
6969	DB00813	P27338
6970	DB00814	P35354
6971	DB00814	P23219
6972	DB00816	P07550
6973	DB00818	P47870
6974	DB00818	P28472
6975	DB00818	P35499
6976	DB00818	Q99250
6977	DB00818	P14867
6978	DB00818	P47869
6979	DB00818	P34903
6980	DB00818	P48169
6981	DB00818	P31644
6982	DB00818	Q16445
6983	DB00818	P18505
6984	DB00818	O14764
6985	DB00818	P78334
6986	DB00818	Q8N1C3
6987	DB00818	P18507
6988	DB00818	Q99928
6989	DB00818	O00591
6990	DB00818	Q9UN88
6991	DB00818	P23219
6992	DB00818	P23975
6993	DB00818	P41595
6994	DB00818	P28335
6995	DB00818	P11712
6996	DB00818	P00915
6997	DB00818	P00918
6998	DB00818	O00519
6999	DB00819	P00915
7000	DB00819	P00918
7001	DB00819	P22748
7002	DB00819	O43570
7003	DB00819	Q9ULX7
7004	DB00819	P07451
7005	DB00819	P43166
7006	DB00819	P29972
7007	DB00819	P35218
7008	DB00819	P23280
7009	DB00819	Q16790
7010	DB00819	Q8N1Q1
7011	DB00819	Q9Y2D0
7012	DB00820	O76074
7013	DB00820	Q9HCR9
7014	DB00820	O43924
7015	DB00820	P16499
7016	DB00820	P18545
7017	DB00820	P35913
7018	DB00820	P51160
7019	DB00820	Q13956
7020	DB00820	Q12809
7021	DB00821	P35354
7022	DB00821	P23219
7023	DB00822	P05091
7024	DB00822	P09172
7025	DB00822	P21917
7026	DB00822	P35372
7027	DB00822	P21728
7028	DB00822	P14416
7029	DB00822	P08913
7030	DB00822	P23975
7031	DB00822	P41595
7032	DB00822	P50406
7033	DB00822	P18089
7034	DB00822	P35462
7035	DB00822	Q01959
7036	DB00822	P0DMS8
7037	DB00822	P41145
7038	DB00822	P05177
7039	DB00822	P21397
7040	DB00822	P27815
7041	DB00822	P51681
7042	DB00822	P25025
7043	DB00822	P41597
7044	DB00822	P27361
7045	DB00822	O00337
7046	DB00822	P51679
7047	DB00822	Q99685
7048	DB00822	P30536
7049	DB00823	P06401
7050	DB00823	P03372
7051	DB00824	P27815
7052	DB00824	Q07343
7053	DB00824	P29275
7054	DB00824	P30542
7055	DB00824	P29274
7056	DB00824	P0DMS8
7057	DB00825	Q7Z2W7
7058	DB00825	O75762
7059	DB00825	Q8NET8
7060	DB00825	P41145
7061	DB00825	Q13936
7062	DB00825	Q01668
7063	DB00825	O60840
7064	DB00825	Q13698
7065	DB00825	Q02641
7066	DB00825	Q08289
7067	DB00825	P54284
7068	DB00825	O00305
7069	DB00827	P00918
7070	DB00829	P14867
7071	DB00829	P47869
7072	DB00829	P34903
7073	DB00829	P31644
7074	DB00829	P18505
7075	DB00829	P47870
7076	DB00829	P28472
7077	DB00829	Q8N1C3
7078	DB00829	P18507
7079	DB00829	Q99928
7080	DB00829	O14764
7081	DB00829	P78334
7082	DB00829	O00591
7083	DB00829	P24046
7084	DB00829	P28476
7085	DB00829	A8MPY1
7086	DB00829	Q9UN88
7087	DB00829	P30536
7088	DB00829	P48169
7089	DB00829	Q16445
7090	DB00829	P0DMS8
7091	DB00829	P08684
7092	DB00829	P35348
7093	DB00830	P23975
7094	DB00830	Q01959
7095	DB00830	P21397
7096	DB00831	P14416
7097	DB00831	Q9NYX4
7098	DB00831	P35348
7099	DB00831	P0DP23
7100	DB00831	P63316
7101	DB00831	P26447
7102	DB00831	P35462
7103	DB00831	P34969
7104	DB00831	P50406
7105	DB00831	P21917
7106	DB00831	P20309
7107	DB00831	P18825
7108	DB00831	P18089
7109	DB00831	P08913
7110	DB00831	P08908
7111	DB00831	P28223
7112	DB00831	P35367
7113	DB00831	P28335
7114	DB00831	Q12809
7115	DB00831	P08183
7116	DB00831	Q9BY08
7117	DB00831	Q99720
7118	DB00831	P35498
7119	DB00831	Q99250
7120	DB00831	Q9NY46
7121	DB00831	P78527
7122	DB00831	Q15125
7123	DB00831	P0DP24
7124	DB00831	P0DP25
7125	DB00834	P06401
7126	DB00834	P04150
7127	DB00834	P07288
7128	DB00834	O75469
7129	DB00834	P35372
7130	DB00834	Q99720
7131	DB00834	P18089
7132	DB00834	P41145
7133	DB00834	P06241
7134	DB00834	Q16539
7135	DB00834	P10275
7136	DB00834	P08235
7137	DB00834	P08684
7138	DB00834	Q92731
7139	DB00834	P03372
7140	DB00835	P35367
7141	DB00835	P11229
7142	DB00835	P08172
7143	DB00835	P20309
7144	DB00835	P08173
7145	DB00835	P08912
7146	DB00835	P35498
7147	DB00835	Q99250
7148	DB00835	Q9NY46
7149	DB00835	Q12809
7150	DB00836	P35372
7151	DB00836	P41143
7152	DB00836	P41145
7153	DB00836	O00555
7154	DB00836	P01189
7155	DB00836	P0DP23
7156	DB00836	Q14994
7157	DB00836	P07550
7158	DB00836	Q99720
7159	DB00836	P31645
7160	DB00836	P41595
7161	DB00836	P35462
7162	DB00836	P25021
7163	DB00836	P10635
7164	DB00836	P25100
7165	DB00836	O15399
7166	DB00836	Q14957
7167	DB00836	Q13224
7168	DB00836	P35346
7169	DB00836	P0DP24
7170	DB00836	P0DP25
7171	DB00836	Q06278
7172	DB00836	P35367
7173	DB00836	Q12879
7174	DB00836	O15245
7175	DB00836	Q02763
7176	DB00836	P35498
7177	DB00836	Q99250
7178	DB00836	Q9NY46
7179	DB00837	Q9UBS5
7180	DB00837	P14867
7181	DB00837	P18507
7182	DB00837	P47870
7183	DB00837	O00591
7184	DB00837	O14764
7185	DB00837	P18505
7186	DB00837	P28472
7187	DB00837	P31644
7188	DB00837	P34903
7189	DB00837	P47869
7190	DB00837	P48169
7191	DB00837	P78334
7192	DB00837	Q16445
7193	DB00837	Q8N1C3
7194	DB00837	Q99928
7195	DB00837	Q9UN88
7196	DB00838	P04150
7197	DB00839	Q09428
7198	DB00839	Q14654
7199	DB00841	P08588
7200	DB00841	P07550
7201	DB00841	P35348
7202	DB00841	P35368
7203	DB00841	P25100
7204	DB00841	P03372
7205	DB00841	Q99720
7206	DB00841	P31645
7207	DB00841	P23975
7208	DB00841	P18089
7209	DB00841	P35462
7210	DB00841	Q01959
7211	DB00841	P00533
7212	DB00841	P06239
7213	DB00841	P06241
7214	DB00841	P35218
7215	DB00841	P00918
7216	DB00841	Q9ULX7
7217	DB00841	P43166
7218	DB00841	O43570
7219	DB00841	Q16790
7220	DB00841	P22748
7221	DB00841	P00915
7222	DB00841	Q9Y2D0
7223	DB00841	P07451
7224	DB00841	Q8N1Q1
7225	DB00841	P23280
7226	DB00841	P21964
7227	DB00842	P14867
7228	DB00842	P47869
7229	DB00842	P34903
7230	DB00842	P48169
7231	DB00842	P31644
7232	DB00842	Q16445
7233	DB00842	P18505
7234	DB00842	P47870
7235	DB00842	P28472
7236	DB00842	Q8N1C3
7237	DB00842	P18507
7238	DB00842	Q99928
7239	DB00842	O14764
7240	DB00842	P78334
7241	DB00842	O00591
7242	DB00842	P24046
7243	DB00842	P28476
7244	DB00842	A8MPY1
7245	DB00842	Q9UN88
7246	DB00843	P22303
7247	DB00843	P28223
7248	DB00843	P31645
7249	DB00843	P27338
7250	DB00843	P56817
7251	DB00843	Q99720
7252	DB00843	Q12809
7253	DB00843	P06276
7254	DB00843	Q9Y5N1
7255	DB00843	P08183
7256	DB00844	P41145
7257	DB00844	P35372
7258	DB00844	P41143
7259	DB00845	O95342
7260	DB00846	P04150
7261	DB00847	P61278
7262	DB00847	P49146
7263	DB00848	P32297
7264	DB00848	P10696
7265	DB00848	P05186
7266	DB00849	P14867
7267	DB00849	P47869
7268	DB00849	P34903
7269	DB00849	P48169
7270	DB00849	P31644
7271	DB00849	Q16445
7272	DB00849	P43681
7273	DB00849	P36544
7274	DB00849	P42262
7275	DB00849	Q13002
7276	DB00849	O75469
7277	DB00849	P18507
7278	DB00849	P28472
7279	DB00850	P14416
7280	DB00850	P21728
7281	DB00850	P0DP23
7282	DB00850	P20309
7283	DB00850	Q12809
7284	DB00850	P21917
7285	DB00850	P18825
7286	DB00850	Q06278
7287	DB00850	P35367
7288	DB00850	P35462
7289	DB00850	P18089
7290	DB00850	P35348
7291	DB00850	P34969
7292	DB00850	P50406
7293	DB00850	P28335
7294	DB00850	P28223
7295	DB00850	P08908
7296	DB00850	P08913
7297	DB00851	Q14181
7298	DB00851	P52209
7299	DB00851	P14780
7300	DB00852	P23975
7301	DB00852	Q01959
7302	DB00852	P35348
7303	DB00852	P08913
7304	DB00852	P31645
7305	DB00852	P07550
7306	DB00852	P08588
7307	DB00852	O95644
7308	DB00852	P01375
7309	DB00852	P18846
7310	DB00852	P15336
7311	DB00852	P18847
7312	DB00852	P18848
7313	DB00852	Q9Y2D1
7314	DB00852	P18850
7315	DB00852	P17544
7316	DB00852	Q8WYK2
7317	DB00852	P01100
7318	DB00852	P05412
7319	DB00852	P60568
7320	DB00854	P35372
7321	DB00854	P41143
7322	DB00854	P41145
7323	DB00854	P35498
7324	DB00854	Q99250
7325	DB00854	Q9NY46
7326	DB00854	O15399
7327	DB00854	O60391
7328	DB00854	Q05586
7329	DB00854	Q12879
7330	DB00854	Q13224
7331	DB00854	Q14957
7332	DB00854	Q8TCU5
7333	DB00855	P13716
7334	DB00857	Q14534
7335	DB00857	P08913
7336	DB00857	Q99720
7337	DB00857	P23975
7338	DB00857	P10635
7339	DB00858	P10275
7340	DB00860	P04150
7341	DB00860	P04083
7342	DB00860	P08235
7343	DB00860	P10275
7344	DB00860	P15104
7345	DB00860	P08185
7346	DB00860	P05231
7347	DB00860	P78536
7348	DB00861	P35354
7349	DB00861	P23219
7350	DB00861	P00918
7351	DB00861	P00915
7352	DB00861	P02766
7353	DB00862	O76074
7354	DB00862	P18545
7355	DB00862	Q13956
7356	DB00862	P54750
7357	DB00862	P16499
7358	DB00862	O76083
7359	DB00862	P27815
7360	DB00862	Q07343
7361	DB00862	Q08493
7362	DB00862	Q08499
7363	DB00862	O00408
7364	DB00862	Q13370
7365	DB00862	Q14432
7366	DB00862	Q9HCR9
7367	DB00862	Q9Y233
7368	DB00863	P25021
7369	DB00863	P22303
7370	DB00863	P06276
7371	DB00863	Q96FL8
7372	DB00864	P62942
7373	DB00864	P08684
7374	DB00864	P48454
7375	DB00864	P60568
7376	DB00864	P01579
7377	DB00864	P05113
7378	DB00864	Q12809
7379	DB00864	Q96AY3
7380	DB00864	P42345
7381	DB00864	Q15393
7382	DB00864	Q08209
7383	DB00864	Q13451
7384	DB00864	P68106
7385	DB00865	Q05940
7386	DB00865	P08913
7387	DB00865	P35348
7388	DB00865	Q01959
7389	DB00865	P23975
7390	DB00866	P08588
7391	DB00866	P07550
7392	DB00866	P08908
7393	DB00866	P13945
7394	DB00866	P28223
7395	DB00867	P07550
7396	DB00867	P13945
7397	DB00868	Q14524
7398	DB00869	P00918
7399	DB00869	P22748
7400	DB00869	P00915
7401	DB00869	P07451
7402	DB00869	O43570
7403	DB00869	Q8N1Q1
7404	DB00869	P35218
7405	DB00869	Q9ULX7
7406	DB00869	P43166
7407	DB00869	Q16790
7408	DB00869	Q9Y2D0
7409	DB00869	P23280
7410	DB00870	P23219
7411	DB00870	P35354
7412	DB00870	P11712
7413	DB00871	P07550
7414	DB00871	P13945
7415	DB00871	P08588
7416	DB00872	P37288
7417	DB00872	P30518
7418	DB14596	P04150
7419	DB00874	Q05586
7420	DB00874	Q12879
7421	DB00874	Q13224
7422	DB00874	Q14957
7423	DB00874	O15399
7424	DB00874	Q8TCU5
7425	DB00874	O60391
7426	DB00875	P14416
7427	DB00875	P28223
7428	DB00875	P21728
7429	DB00875	P35348
7430	DB00875	P11229
7431	DB00875	P35367
7432	DB00875	P21917
7433	DB00875	P35462
7434	DB00875	P21918
7435	DB00875	P08908
7436	DB00875	O15245
7437	DB00875	Q99720
7438	DB00876	P30556
7439	DB00877	P42345
7440	DB00877	P62942
7441	DB00877	P09038
7442	DB00877	P08684
7443	DB00877	P11712
7444	DB00877	P33261
7445	DB00877	O00337
7446	DB00877	Q00688
7447	DB00877	P08183
7448	DB00877	P06730
7449	DB00877	Q53EL6
7450	DB00877	Q13451
7451	DB00877	P68106
7452	DB00880	P55017
7453	DB00880	P00915
7454	DB00880	P00918
7455	DB00881	P12821
7456	DB00882	P03372
7457	DB00882	P04278
7458	DB00882	P23219
7459	DB00882	P08913
7460	DB00882	P31645
7461	DB00882	P23975
7462	DB00882	P28223
7463	DB00882	P41595
7464	DB00882	P28335
7465	DB00882	P18089
7466	DB00882	P35462
7467	DB00882	P11229
7468	DB00882	P08172
7469	DB00882	P20309
7470	DB00882	P08173
7471	DB00882	P08912
7472	DB00882	P13945
7473	DB00882	P18825
7474	DB00882	Q01959
7475	DB00882	P10635
7476	DB00882	P0DMS8
7477	DB00882	P00533
7478	DB00882	P06241
7479	DB00882	P04626
7480	DB00882	P21452
7481	DB00882	Q12809
7482	DB00882	P35367
7483	DB00882	Q99720
7484	DB00882	P50406
7485	DB00882	Q15125
7486	DB00883	P16066
7487	DB00883	O75343
7488	DB00883	P33402
7489	DB00883	Q02108
7490	DB00883	Q02153
7491	DB00884	P14324
7492	DB00886	P12821
7493	DB00886	P08473
7494	DB00887	Q13621
7495	DB00887	P55011
7496	DB00887	Q9UP95
7497	DB00887	Q9H2X9
7498	DB00887	P13569
7499	DB00887	P05023
7500	DB00887	Q9HC97
7501	DB00889	P46098
7502	DB00889	P17787
7503	DB00889	P43681
7504	DB00889	O15244
7505	DB00889	P32297
7506	DB00889	O95264
7507	DB00889	Q96FL8
7508	DB00889	Q12809
7509	DB00890	P03372
7510	DB00890	P04278
7511	DB00892	Q9Y5Y9
7512	DB00892	P35498
7513	DB00892	Q99250
7514	DB00892	Q9NY46
7515	DB00893	P68871
7516	DB00893	P69905
7517	DB00893	P02794
7518	DB00893	P02792
7519	DB00894	P11511
7520	DB00895	P30273
7521	DB00895	P12319
7522	DB00896	P04150
7523	DB00897	P14867
7524	DB00897	P47869
7525	DB00897	P34903
7526	DB00897	P48169
7527	DB00897	P31644
7528	DB00897	Q16445
7529	DB00897	P18505
7530	DB00897	P47870
7531	DB00897	P28472
7532	DB00897	Q8N1C3
7533	DB00897	P18507
7534	DB00897	Q99928
7535	DB00897	O14764
7536	DB00897	P78334
7537	DB00897	O00591
7538	DB00897	P24046
7539	DB00897	P28476
7540	DB00897	A8MPY1
7541	DB00897	Q9UN88
7542	DB00897	P30536
7543	DB00897	P25105
7544	DB00897	P08684
7545	DB00898	P14867
7546	DB00898	Q8TCU5
7547	DB00898	P23415
7548	DB00898	P23416
7549	DB00898	Q02641
7550	DB00898	P46098
7551	DB00898	P47869
7552	DB00898	Q9GZZ6
7553	DB00898	Q13936
7554	DB00898	P31644
7555	DB00898	P48169
7556	DB00898	P34903
7557	DB00898	P42261
7558	DB00898	Q06432
7559	DB00898	Q15822
7560	DB00898	Q16445
7561	DB00898	P42262
7562	DB00898	P48058
7563	DB00898	P42263
7564	DB00898	P43681
7565	DB00898	P17787
7566	DB00898	P48549
7567	DB00898	P48051
7568	DB00898	P19320
7569	DB00898	Q99808
7570	DB00898	P48544
7571	DB00898	P36544
7572	DB00898	Q9UGM1
7573	DB00898	P18505
7574	DB00898	P28472
7575	DB00898	P47870
7576	DB00898	Q13698
7577	DB00898	Q01668
7578	DB00898	P30926
7579	DB00898	P32297
7580	DB00898	P30532
7581	DB00898	Q15825
7582	DB00898	Q05901
7583	DB00898	Q8N1C3
7584	DB00898	Q99928
7585	DB00898	P78334
7586	DB00898	O00591
7587	DB00898	Q9UN88
7588	DB00898	O14764
7589	DB00898	Q14542
7590	DB00898	A5X5Y0
7591	DB00898	O95264
7592	DB00898	Q70Z44
7593	DB00898	Q8WXA8
7594	DB00898	Q9Y698
7595	DB00898	Q92806
7596	DB00898	P32004
7597	DB00899	P35372
7598	DB00899	P41143
7599	DB00899	P41145
7600	DB00900	P00491
7601	DB00901	P07550
7602	DB00902	P35367
7603	DB00903	P05023
7604	DB00903	Q13621
7605	DB00903	Q9UJU2
7606	DB00903	P09211
7607	DB00903	Q14376
7608	DB00903	P08263
7609	DB00904	P46098
7610	DB00904	Q13639
7611	DB00904	P35372
7612	DB00904	P08908
7613	DB00904	P28222
7614	DB00904	P41595
7615	DB00904	O75751
7616	DB00904	O15245
7617	DB00904	P17787
7618	DB00904	P43681
7619	DB00904	Q86VL8
7620	DB00904	Q96FL8
7621	DB00904	O15244
7622	DB00904	O95264
7623	DB00904	Q06278
7624	DB00904	Q12809
7625	DB00905	P43088
7626	DB00905	P34995
7627	DB00905	P43115
7628	DB00906	P30531
7629	DB00907	Q01959
7630	DB00907	P23975
7631	DB00907	P31645
7632	DB00907	Q14524
7633	DB00907	Q9UI33
7634	DB00907	Q9Y5Y9
7635	DB00907	P11229
7636	DB00907	P08172
7637	DB00907	Q99720
7638	DB00907	P23141
7639	DB00907	P35498
7640	DB00907	Q99250
7641	DB00907	Q9NY46
7642	DB00907	Q16568
7643	DB00907	P30531
7644	DB00907	P46098
7645	DB00907	P41145
7646	DB00907	P35367
7647	DB00907	P35348
7648	DB00907	P28222
7649	DB00907	Q12809
7650	DB00907	O95264
7651	DB00908	Q14524
7652	DB00908	O00180
7653	DB00908	Q9Y257
7654	DB00908	Q12809
7655	DB00908	P35348
7656	DB00908	P35368
7657	DB00908	P25100
7658	DB00908	P08172
7659	DB00908	O95259
7660	DB00908	Q96RP8
7661	DB00908	O15244
7662	DB00908	Q9Y3Q4
7663	DB00908	Q8IWT1
7664	DB00908	Q9NY72
7665	DB00908	O60939
7666	DB00908	Q07699
7667	DB00908	P08183
7668	DB00908	P35498
7669	DB00908	Q99250
7670	DB00908	Q9NY46
7671	DB00908	Q96FL8
7672	DB00908	P06276
7673	DB00908	P10635
7674	DB00908	Q7RTT9
7675	DB00908	P22460
7676	DB00909	P35498
7677	DB00909	Q99250
7678	DB00909	Q9NY46
7679	DB00909	P35499
7680	DB00909	Q14524
7681	DB00909	Q15858
7682	DB00909	Q9UI33
7683	DB00909	Q07699
7684	DB00909	O60939
7685	DB00909	Q9NY72
7686	DB00909	Q8IWT1
7687	DB00909	O43497
7688	DB00909	O95180
7689	DB00909	Q9P0X4
7690	DB00909	P00915
7691	DB00909	P00918
7692	DB00909	P07451
7693	DB00909	P22748
7694	DB00909	P35218
7695	DB00909	Q9Y2D0
7696	DB00909	P23280
7697	DB00909	P43166
7698	DB00909	P35219
7699	DB00909	Q16790
7700	DB00909	Q9NS85
7701	DB00909	O75493
7702	DB00909	O43570
7703	DB00909	Q8N1Q1
7704	DB00909	Q9ULX7
7705	DB00909	P27338
7706	DB00909	P21397
7707	DB00910	P11473
7708	DB00912	Q09428
7709	DB00912	P37231
7710	DB00912	Q9Y6L6
7711	DB00912	Q14654
7712	DB00912	O60706
7713	DB00912	O15245
7714	DB00913	P35372
7715	DB00914	Q13131
7716	DB00914	Q15842
7717	DB00914	Q9Y478
7718	DB00915	Q8TCU5
7719	DB00915	P36544
7720	DB00915	P14416
7721	DB00915	P43681
7722	DB00915	P32297
7723	DB00915	Q99720
7724	DB00915	Q96FL8
7725	DB00915	O15399
7726	DB00915	O60391
7727	DB00915	Q05586
7728	DB00915	Q12879
7729	DB00915	Q13224
7730	DB00915	Q14957
7731	DB00916	Q16850
7732	DB00917	P43116
7733	DB00917	P34995
7734	DB00917	P43115
7735	DB00917	P35408
7736	DB00917	Q9Y5Y4
7737	DB00917	Q13258
7738	DB00917	P43088
7739	DB00917	P21731
7740	DB00917	P43119
7741	DB00917	Q7RTX7
7742	DB00917	Q86XQ3
7743	DB00917	Q8NEC5
7744	DB00917	Q96P56
7745	DB00918	P28222
7746	DB00918	P28221
7747	DB00918	P30939
7748	DB00920	P35367
7749	DB00920	P52209
7750	DB00920	P21728
7751	DB00920	P08913
7752	DB00920	P08908
7753	DB00920	P28223
7754	DB00920	P41595
7755	DB00920	P28335
7756	DB00920	P50406
7757	DB00920	P18089
7758	DB00920	P35462
7759	DB00920	P25021
7760	DB00920	P25100
7761	DB00920	P08912
7762	DB00920	P08173
7763	DB00920	P20309
7764	DB00920	P08172
7765	DB00920	P11229
7766	DB00920	P08183
7767	DB00921	P35372
7768	DB00921	P41145
7769	DB00921	P41143
7770	DB00921	P41146
7771	DB00921	Q12809
7772	DB00922	P63316
7773	DB00922	Q14654
7774	DB00922	Q15842
7775	DB00922	Q14432
7776	DB00924	P28223
7777	DB00924	P20309
7778	DB00924	P28335
7779	DB00924	Q06278
7780	DB00924	P11229
7781	DB00924	P35367
7782	DB00924	P34969
7783	DB00924	P50406
7784	DB00924	P41595
7785	DB00924	P23975
7786	DB00924	P31645
7787	DB00924	P08183
7788	DB00924	P08172
7789	DB00924	P07949
7790	DB00925	P35348
7791	DB00925	P08913
7792	DB00925	P18825
7793	DB00925	P18089
7794	DB00925	P0DP23
7795	DB00925	P07550
7796	DB00925	P35368
7797	DB00925	P25100
7798	DB00925	O15245
7799	DB00925	P35498
7800	DB00925	Q99250
7801	DB00925	Q9NY46
7802	DB00926	P10276
7803	DB00926	P19793
7804	DB00926	P10826
7805	DB00926	P48443
7806	DB00926	P28702
7807	DB00926	P13631
7808	DB00927	P25021
7809	DB00927	P07900
7810	DB00927	O75751
7811	DB00927	O15244
7812	DB00927	Q86VL8
7813	DB00927	Q96FL8
7814	DB00928	P26358
7815	DB00928	Q9Y6K1
7816	DB00929	P43115
7817	DB00929	P43116
7818	DB00929	P35408
7819	DB00929	P43088
7820	DB00932	P08183
7821	DB00932	P07339
7822	DB00932	P0DJD9
7823	DB00932	P14091
7824	DB00933	P28223
7825	DB00933	P14416
7826	DB00933	P50406
7827	DB00933	P35462
7828	DB00933	P35367
7829	DB00933	P28335
7830	DB00933	P21917
7831	DB00933	P20309
7832	DB00933	P11229
7833	DB00933	P08912
7834	DB00933	P08173
7835	DB00933	P08172
7836	DB00933	Q12809
7837	DB00933	P08908
7838	DB00933	P21728
7839	DB00934	P23975
7840	DB00934	P35367
7841	DB00934	P11229
7842	DB00934	P08172
7843	DB00934	P20309
7844	DB00934	P08173
7845	DB00934	P08912
7846	DB00934	P35348
7847	DB00934	P35368
7848	DB00934	P25100
7849	DB00934	P28223
7850	DB00934	P28335
7851	DB00934	P34969
7852	DB00934	P14416
7853	DB00934	P08913
7854	DB00934	P18089
7855	DB00934	P18825
7856	DB00934	P31645
7857	DB00934	P08684
7858	DB00934	P41595
7859	DB00934	P50406
7860	DB00934	P25021
7861	DB00934	Q9UNQ0
7862	DB00934	Q01959
7863	DB00934	Q06278
7864	DB00934	P21918
7865	DB00934	P35462
7866	DB00934	P21728
7867	DB00935	P35348
7868	DB00935	P08913
7869	DB00935	P18825
7870	DB00935	P18089
7871	DB00935	P35368
7872	DB00935	P25100
7873	DB00935	P41595
7874	DB00935	P28566
7875	DB00935	P28223
7876	DB00935	P28335
7877	DB00935	P08908
7878	DB00935	P50406
7879	DB00935	P08173
7880	DB00935	P08912
7881	DB00935	P10635
7882	DB00935	Q9Y2I1
7883	DB00935	P28222
7884	DB00935	P28221
7885	DB00936	P23219
7886	DB00936	P35354
7887	DB00936	Q04828
