protein_name	disorder_name	score
P61769	0018905	0.3199999928474426
P61769	0005580	0.30000001192092896
P61769	0005240	0.41999998688697815
P61769	0005267	0.30000001192092896
P61769	0019476	0.30000001192092896
P61769	0007179	0.3100000023841858
P61769	0008315	0.33000001311302185
P61769	0007099	0.6000000238418579
A0A087X090	0014713	0.6000000238418579
A0A087X090	0019212	0.30000001192092896
P36776	0004069	0.30000001192092896
P36776	0010879	0.7400000095367432
P22102	0005061	0.30000001192092896
P22102	0008383	0.30000001192092896
P22105	0011670	0.6100000143051147
P22105	0014422	0.4000000059604645
P22105	0005580	0.30000001192092896
P22105	0019719	0.30000001192092896
P22105	0007523	0.41999998688697815
P22105	0006007	0.6100000143051147
P22105	0019019	0.30000001192092896
P22105	0020066	0.4000000059604645
C8YZ26	0002927	0.30000001192092896
C8YZ26	0015758	0.3199999928474426
C8YZ26	0017387	0.30000001192092896
C8YZ26	0018031	0.30000001192092896
C8YZ26	0011989	0.30000001192092896
C8YZ26	0009693	0.4000000059604645
Q6ZXV5	0014992	0.4000000059604645
Q6ZXV5	0018838	0.30000001192092896
Q6ZXV5	0020341	0.3100000023841858
P22087	0004989	0.3199999928474426
P22087	0005061	0.30000001192092896
P22087	0007179	0.3100000023841858
A0N0X8	0002442	0.30000001192092896
A0N0X8	0004989	0.4000000059604645
A0N0X8	0005480	0.30000001192092896
A0N0X8	0005372	0.3700000047683716
A0N0X8	0005271	0.30000001192092896
A0N0X8	0006525	0.30000001192092896
A0N0X8	0006499	0.3100000023841858
A0N0X8	0005044	0.3799999952316284
A0N0X8	0008315	0.4000000059604645
A0A087X0Z2	0013163	0.6000000238418579
A0A087X0Z2	0004069	0.30000001192092896
P36888	0012883	0.4000000059604645
P36888	0000577	0.30000001192092896
P36888	0018871	0.3199999928474426
P36888	0018874	1
P36888	0005223	0.3100000023841858
P36888	0020322	0.33000001311302185
P36888	0007243	0.30000001192092896
P36897	0011057	0.30000001192092896
P36897	0002898	0.3199999928474426
P36897	0002531	0.3400000035762787
P36897	0015469	0.4000000059604645
P36897	0015225	0.30000001192092896
P36897	0018954	0.8999999761581421
P36897	0005575	0.4000000059604645
P36897	0005396	0.33000001311302185
P36897	0007947	0.4000000059604645
P36897	0005155	0.30000001192092896
P36897	0008779	0.30000001192092896
P36897	0007008	0.30000001192092896
P36897	0020066	0.3199999928474426
P36894	0012405	0.30000001192092896
P36894	0004992	0.30000001192092896
P36894	0005575	0.3100000023841858
P36894	0018604	0.30000001192092896
P36894	0005036	0.30000001192092896
P61812	0013897	0.4000000059604645
P61812	0011057	0.30000001192092896
P61812	0004789	0.30000001192092896
P61812	0015225	0.30000001192092896
P61812	0005648	0.4000000059604645
P61812	0018954	0.6499999761581421
P61812	0017427	0.30000001192092896
P61812	0016064	0.30000001192092896
P61812	0005396	0.550000011920929
P61812	0007947	0.33000001311302185
P61812	0005041	0.3799999952316284
P61812	0006292	0.30000001192092896
P61812	0008779	0.30000001192092896
P61812	0007179	0.30000001192092896
P61812	0020066	0.30000001192092896
P36871	0024644	0.30000001192092896
P36871	0013968	0.6000000238418579
P36871	0015286	0.30000001192092896
P36871	0005575	0.30000001192092896
P22223	0009155	0.7300000190734863
P22223	0011107	0.699999988079071
P22223	0005101	0.30000001192092896
A0A087X162	0024644	0.30000001192092896
A0A087X162	0015892	1
A0A087X162	0008315	0.3400000035762787
A0A087X163	0013638	0.6000000238418579
A0A087X163	0016649	0.550000011920929
A0A087X163	0016056	0.30000001192092896
A0A087X0U3	0012982	0.7200000286102295
A0A087X0U3	0004985	0.30000001192092896
A0A087X0U3	0015626	0.30000001192092896
A0A087X0U3	0016241	0.33000001311302185
A0A087X159	0008315	0.3100000023841858
A0A087X0W8	0000960	0.30000001192092896
A0A087X0W8	0021063	0.30000001192092896
A0A087X0W8	0001751	0.30000001192092896
A0A087X0W8	0002898	0.30000001192092896
A0A087X0W8	0002531	0.30000001192092896
A0A087X0W8	0004989	0.36000001430511475
A0A087X0W8	0016698	0.3400000035762787
A0A087X0W8	0017884	0.30000001192092896
A0A087X0W8	0017885	0.30000001192092896
A0A087X0W8	0003012	0.30000001192092896
A0A087X0W8	0005401	0.3100000023841858
A0A087X0W8	0006757	0.30000001192092896
A0A087X0W8	0005300	0.5099999904632568
A0A087X0W8	0006644	0.30000001192092896
A0A087X0W8	0005299	0.30000001192092896
A0A087X0W8	0005292	0.5199999809265137
A0A087X0W8	0005220	0.30000001192092896
A0A087X0W8	0005101	0.3499999940395355
A0A087X0W8	0005086	0.30000001192092896
A0A087X0W8	0005044	0.5
A0A087X0W8	0006032	0.30000001192092896
A0A087X0W9	0044319	0.699999988079071
A0A087X0I6	0021085	0.30000001192092896
A0A087X0I6	0005036	0.30000001192092896
A0A087X0I6	0007648	0.30000001192092896
A0A087X0I3	0011057	0.30000001192092896
A0A087X0I3	0008436	0.699999988079071
A0A087X0H5	0024644	0.30000001192092896
A0A087X0H5	0015892	1
A0A087X0H5	0008315	0.3400000035762787
A0A087X0H8	0004993	0.30000001192092896
A0A087X0H8	0005617	0.30000001192092896
A0A087X0H8	0006406	0.30000001192092896
A0A087X0H9	0006654	0.30000001192092896
A0A087X0H2	0021063	0.3199999928474426
A0A087X0H2	0002032	0.41999998688697815
A0A087X0H2	0018908	0.699999988079071
A0A087X0H2	0009975	0.30000001192092896
A0A087X0H2	0007243	0.30000001192092896
A0A087X0K8	0010241	0.30000001192092896
A0A087X0K8	0013807	0.6000000238418579
A0A087X0K8	0012490	0.30000001192092896
A0A087X0K8	0005927	0.30000001192092896
A0A087X0K8	0016293	0.6200000047683716
A0A087X0K8	0009758	0.30000001192092896
A0N0L5	0021085	0.30000001192092896
A0N0L5	0017884	0.30000001192092896
A0N0L5	0017885	0.30000001192092896
A0N0L5	0003012	0.30000001192092896
A0N0L5	0005233	0.3100000023841858
A0N0L5	0005220	0.30000001192092896
A0N0L5	0005086	0.30000001192092896
A0N0L5	0007648	0.30000001192092896
A0N0L5	0008383	0.5
A0N0L8	0005130	0.4000000059604645
A0N0L8	0005101	0.3100000023841858
A0A087X0M8	0000408	0.3100000023841858
A0A087X0M8	0005575	0.30000001192092896
A0A087X0M8	0016011	0.3100000023841858
A0A087X0L2	0021085	0.33000001311302185
A0A087X0L2	0020726	0.6000000238418579
A0A087X0L2	0019719	0.30000001192092896
A0A087X0L2	0005065	0.33000001311302185
A0A087X0L2	0007648	0.30000001192092896
A0A087X0L2	0006292	0.3100000023841858
A0A087X0L2	0009693	0.4000000059604645
A0N0N7	0024644	0.30000001192092896
A0N0N7	0005271	0.30000001192092896
A0N0N7	0005249	0.30000001192092896
A0N0N7	0008315	0.3100000023841858
A0N0P2	0005388	0.3199999928474426
A0N0P2	0005130	0.3100000023841858
A0N0P2	0008661	0.30000001192092896
A0N0Q0	0002125	0.30000001192092896
A0N0Q0	0019471	0.3100000023841858
A0N0Q1	0021042	0.30000001192092896
A0N0Q1	0002691	0.30000001192092896
A0N0Q1	0015917	0.30000001192092896
A0N0Q1	0004721	0.30000001192092896
A0N0Q1	0017844	0.3199999928474426
A0N0Q1	0003268	0.30000001192092896
A0N0Q1	0005299	0.30000001192092896
A0N0Q1	0005130	0.30000001192092896
A0N0Q1	0019471	0.4000000059604645
A0N0R1	0024644	0.30000001192092896
A0N0R1	0002771	0.30000001192092896
A0N0R1	0002462	0.30000001192092896
A0N0R1	0002125	0.5
A0N0R1	0005271	0.30000001192092896
A0N0R1	0005299	0.30000001192092896
A0N0R1	0005109	0.3700000047683716
A0N0R1	0006292	0.30000001192092896
A0N0R1	0019203	0.30000001192092896
A0N0R2	0005388	0.30000001192092896
Q5VTD9	0005575	0.30000001192092896
Q5VTD9	0007686	0.3100000023841858
P61978	0011348	0.30000001192092896
P61978	0014700	0.6000000238418579
P61978	0004989	0.3100000023841858
P22362	0002462	0.5
P22362	0001085	0.30000001192092896
P61970	0005109	0.30000001192092896
P61966	0012251	0.5199999809265137
P61966	0019072	0.4000000059604645
P22392	0008143	0.30000001192092896
P22392	0005575	0.3100000023841858
P22392	0005065	0.30000001192092896
P61960	0012905	0.30000001192092896
P61952	0005061	0.30000001192092896
A0A087X2A4	0021085	0.33000001311302185
A0A087X2A4	0020726	0.6000000238418579
A0A087X2A4	0019719	0.30000001192092896
A0A087X2A4	0005065	0.33000001311302185
A0A087X2A4	0007648	0.30000001192092896
A0A087X2A4	0006292	0.3100000023841858
A0A087X2A4	0009693	0.4000000059604645
A0A087X1S5	0012988	0.30000001192092896
A0A087X1S5	0018923	0.5
A0A087X1S5	0016355	0.4000000059604645
A0A087X1S5	0016296	0.41999998688697815
A0A087X1S5	0018800	0.550000011920929
A0A087X1S5	0016064	0.30000001192092896
A0A087X1S5	0016043	0.30000001192092896
A0A087X1S5	0016034	0.30000001192092896
A0A087X1S5	0007844	0.30000001192092896
A0A087X1S5	0019756	0.30000001192092896
A0A087X1S5	0019757	0.30000001192092896
A0A087X1S5	0010635	0.30000001192092896
A0A087X1R1	0005575	0.30000001192092896
P22352	0011122	0.5199999809265137
P22352	0002691	0.30000001192092896
P22352	0004992	0.30000001192092896
